skill_id,skill_name,skill_type,reuse_level,description
design-computer-network,design computer network,skill/competence,sector-specific,"Develop and plan ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data and assess their capacity requirements."
design-database-backup-specifications,design database backup specifications,skill/competence,sector-specific,Specify procedures to be performed on databases which ensure the copying and archiving of data for possible restoration in case of a data loss event.
design-database-in-the-cloud,design database in the cloud,skill/competence,sector-specific,"Apply design principles for an adaptive, elastic, automated, loosely coupled databases making use of cloud infrastructure. Aim to remove any single point of failure through distributed database design."
design-database-scheme,design database scheme,skill/competence,sector-specific,"Draft a database scheme by following the Relational Database Management System (RDBMS) rules in order to create a logically arranged group of objects such as tables, columns and processes."
design-digital-call-to-action,design digital call to action,skill/competence,occupation-specific,"Appeal the audience in order to provoke their instant response. Use imperative verb forms in the message such as ""Visit us now!""."
design-drawings,design drawings,knowledge,cross-sector,"Understand design drawings detailing the design of products, tools, and engineering systems."
design-electrical-systems,design electrical systems,skill/competence,cross-sector,"Draft sketches and design electrical systems, products, and components using Computer Aided Design (CAD) software and equipment. Draw panel arrangement layouts, electrical schematics, electrical wiring diagrams, and other assembly details."
design-electromechanical-systems,design electromechanical systems,skill/competence,cross-sector,"Draft sketches and design electromechanical systems, products, and components using Computer Aided Design (CAD) software and equipment."
design-electronic-systems,design electronic systems,skill/competence,cross-sector,"Draft sketches and design electronic systems, products, and components using Computer Aided Design (CAD) software and equipment. Make a simulation so that an assessment can be made of the viability of the product and so the physical parameters can be examined before the actual building of the product."
design-enterprise-architecture,design enterprise architecture,skill/competence,sector-specific,"Analyse the business structure and provide a logical organisation of business processes and information infrastructure. Apply principles and practices which help organisations to realise their strategies, respond to disruptions and achieve their goals."
design-firmware,design firmware,skill/competence,cross-sector,Design the appropriate firmware to a specific electronic system.
design-for-organisational-complexity,design for organisational complexity,skill/competence,sector-specific,"Determine cross-account authentication and access strategy for complex organizations (for example, an organization with varying compliance requirements, multiple business units, and varying scalability requirements). Design networks and multi-account cloud environments for complex organizations."
design-graphics,design graphics,skill/competence,cross-sector,Apply a variety of visual techniques in order to design graphic material. Combine graphical elements to communicate concepts and ideas.
design-hardware,design hardware,skill/competence,sector-specific,Design and develop new computer hardware systems and components. Draft blueprints and assembly drawings specifying how the computer equipment should be build.
design-ict-hardware-placement,design ICT hardware placement,skill/competence,occupation-specific,Describe and plan how cables and related hardware items will be placed throughout the building.
design-information-system,design information system,skill/competence,sector-specific,"Define the architecture, composition, components, modules, interfaces and data for integrated information systems (hardware, software and network), based on system requirements and specifications."
design-integrated-circuits,design integrated circuits,skill/competence,cross-sector,"Design and draft integrated circuits (IC) or semiconductors, such as microchips, used in electronic products. Integrate all necessary components, such as diodes, transistors, and resistors. Pay attention to the design of input signals, output signals, and power availability."
design-interaction-model,design interaction model,skill/competence,sector-specific,"Design and develop an interaction model. Design a multi-turn conversation, use built-in intents and slots, handle unexpected conversational requests or responses, design multi-modal skills using one or more service interfaces (for example, audio, video, and gadgets)."
design-materials-for-multimedia-campaigns,design materials for multimedia campaigns,skill/competence,cross-sector,"Draft and develop materials to be produced for a multimedia campaign, keeping in mind budgeting, scheduling and production."
design-microelectromechanical-systems,design microelectromechanical systems,skill/competence,cross-sector,"Design and develop microelectromechanical systems (MEMS), such as microsensing devices. Make a model and a simulation using technical design software to assess the viability of the product and examine the physical parameters to ensure a successful production process."
design-microelectronics,design microelectronics,skill/competence,cross-sector,"Design and develop microelectronic systems, products, and components according to specifications, such as microchips."
design-objects-to-be-crafted,design objects to be crafted,skill/competence,sector-specific,"Sketch, draw or design sketches and drawings from memory, live models, manufactured products or reference materials in the process of crafting and sculpting."
design-power-electronics,design power electronics,skill/competence,occupation-specific,"Design and develop power electronics systems, products, and components according to specifications. Select suitable ancillary devices for the intended application."
design-principles,design principles,knowledge,cross-sector,"The elements used in design such as unity, scale, proportion, balance, symmetry, space, form, texture, colour, light, shade and congruence and their application into practice."
design-process,design process,skill/competence,cross-sector,"Identify the workflow and resource requirements for a particular process, using a variety of tools such as process simulation software, flowcharting and scale models."
design-prototypes,design prototypes,skill/competence,cross-sector,Design prototypes of products or components of products by applying design and engineering principles.
design-puppets,design puppets,skill/competence,sector-specific,"Design and construct puppets and movement control mechanism, based on sketches and/or scripts, for artistic and entertainment purposes."
design-the-digital-interface-of-gambling-betting-and-lottery-games,"design the digital interface of gambling, betting and lottery games",skill/competence,occupation-specific,"Create the digital outlook of gambling, betting and lottery games to make them appealing to the audience."
design-the-physical-outlook-of-games,design the physical outlook of games,skill/competence,occupation-specific,"Creat physical appealing gambling, betting and lottery games, gaming tools and equipment such as lottery tickects, gaming tables, slot machines, etc."
design-thinking,design thinking,knowledge,cross-sector,"The process used to identify creative solutions to problem solving, by putting the user at its core. The five stages approach-empathise, define, ideate, prototype and test-are meant to challenge assumptions and iterate solutions that are better suited to the needs of the user."
design-user-interface,design user interface,skill/competence,sector-specific,"Create software or device components which enable interaction between humans and systems or machines, using appropriate techniques, languages and tools so as to streamline interaction while using the system or machine."
design-web-based-courses,design web-based courses,skill/competence,cross-sector,"Create web-based training and instruction courses using dynamic and static online tools to deliver learning outcomes to the audience of the course. Web tools used here can include streaming video and audio, live internet broadcasts, information portals, chatrooms and bulletin boards."
desktop-publishing,desktop publishing,knowledge,cross-sector,The creation of documents using page layout skills on a computer. Desktop publishing software can generate layouts and produce typographic quality text and images.
determine-suitability-of-materials,determine suitability of materials,skill/competence,cross-sector,"While designing products, determine if materials are suitable and available for production."
determine-visual-concepts,determine visual concepts,skill/competence,sector-specific,Determine how best to represent a concept visually.
develop-a-coaching-style,develop a coaching style,skill/competence,cross-sector,"Develop a style for coaching individuals or groups that ensures all participants are at ease, and are able to acquire the necessary skills and competences provided in the coaching in a positive and productive manner."
develop-account-strategy,develop account strategy,skill/competence,cross-sector,Create the strategic goals and actions for future interaction with an account for the organisation.
develop-animations,develop animations,skill/competence,sector-specific,"Design and develop visual animations using creativity and computer skills. Make objects or characters appear lifelike by manipulating light, colour, texture, shadow, and transparency, or manipulating static images to give the illusion of motion."
develop-artistic-project-budgets,develop artistic project budgets,skill/competence,sector-specific,"Developing artistic project budgets for approval, estimating deadlines and material costs."
develop-audit-plan,develop audit plan,skill/competence,cross-sector,"Define all organisational tasks (time, place and order) and develop a checklist concerning the topics to be audited."
develop-automated-migration-methods,develop automated migration methods,skill/competence,sector-specific,"Create automated transfer of ICT information between storage types, formats and systems to save human resources from performing the task manually."
develop-automated-software-tests,develop automated software tests,skill/competence,sector-specific,"Create software test sets in an automated manner, ​using specialised languages or tools, that can be performed by testing tools in order to save resources, gain efficiency and effectiveness in test execution."
develop-code-exploits,develop code exploits,skill/competence,sector-specific,Create and test software exploits in a controlled environment to uncover and check system bugs or vulnerabilities.
develop-contingency-plans-for-emergencies,develop contingency plans for emergencies,skill/competence,sector-specific,"Compose procedures outlining specific actions to be taken in the event of an emergency, taking into account all the risks and dangers that could be involved, ensuring that the plans comply with safety legislation and represent the safest course of action."
develop-course-outline,develop course outline,skill/competence,cross-sector,Research and establish an outline of the course to be taught and calculate a time frame for the instructional plan in accordance with school regulations and curriculum objectives.
develop-creative-ideas,develop creative ideas,skill/competence,cross-sector,Developing new artistic concepts and creative ideas.
develop-data-processing-applications,develop data processing applications,skill/competence,occupation-specific,Create a customised software for processing data by selecting and using the appropriate computer programming language in order for an ICT system to produce demanded output based on expected input.
develop-design-concept,develop design concept,skill/competence,sector-specific,"Research information to develop new ideas and concepts for the design of a specific production. Read scripts and consult directors and other production staff members, in order to develop design concepts and plan productions."
develop-design-ideas-cooperatively,develop design ideas cooperatively,skill/competence,sector-specific,"Share and develop design ideas with the artistic team. Conceptualise new ideas independently and with others. Present your idea, gain feedback and take it into account. Make sure the design fits with the work of other designers."
develop-digital-educational-materials,develop digital educational materials,skill/competence,cross-sector,"Create resources and instructional materials (e-learning, educational video and audio material, educational prezi) using digital technologies to transfer insight and awareness in order to improve learners’ expertise."
develop-documentation-in-accordance-with-legal-requirements,develop documentation in accordance with legal requirements,skill/competence,cross-sector,"Create professionally written content describing products, applications, components, functions or services in compliance with legal requirements and internal or external standards."
develop-educational-activities,develop educational activities,skill/competence,sector-specific,"Develop speeches, activities and workshops in order to foster access and comprehension to the artistic creation processes. It can address a particular cultural and artistic event such as a show or an exhibition, or it can be related to a specific discipline (theatre, dance, drawing, music, photography etc.). Liaise with storytelles, craftspeople and artists."
develop-educational-resources,develop educational resources,skill/competence,cross-sector,"Create and develop educational resources for visitors, school groups, families and special interest groups."
develop-electronic-test-procedures,develop electronic test procedures,skill/competence,cross-sector,"Develop testing protocols to enable a variety of analyses of electronic systems, products, and components."
develop-environmental-policy,develop environmental policy,skill/competence,cross-sector,Develop an organisational policy on sustainable development and compliance with environmental legislation in line with policy mechanisms used in the field of environmental protection.
develop-financial-statistics-reports,develop financial statistics reports,skill/competence,cross-sector,Create financial and statistical reports based on collected data which are to be presented to managing bodies of an organisation.
develop-food-scanner-devices,develop food scanner devices,skill/competence,sector-specific,"Design and develop food scanning technologies that provide information on the level of allergens, chemicals, nutrients, calories and on ingredients in food."
develop-ict-device-driver,develop ICT device driver,skill/competence,occupation-specific,Create a software program that controls the working of an ICT device and its interaction with other applications.
develop-ict-test-suite,develop ICT test suite,skill/competence,sector-specific,Create a series of test cases to check software behaviour versus specifications. These test cases are then to be used during subsequent testing.
develop-ict-workflow,develop ICT workflow,skill/competence,sector-specific,"Create repeatable patterns of ICT activity within an organisation which enhances the systematic transformations of products, informational processes and services through their production."
develop-inclusive-communication-material,develop inclusive communication material,skill/competence,cross-sector,"Develop inclusive communication resources. Provide appropriate accessible digital, print and signage information and apply the appropriate language to support the representation and inclusion of people with disabilities. Make websites and online facilities accessible, e.g., ensuring compatibility with screen readers."
develop-information-security-strategy,develop information security strategy,skill/competence,sector-specific,"Create company strategy related to the safety and security of information in order to maximise information integrity, availability and data privacy."
develop-information-standards,develop information standards,skill/competence,cross-sector,"Develop norms or requirements that establish uniform technical criteria, methods, processes and practices in the information management based on professional experience."
develop-media-strategy,develop media strategy,skill/competence,cross-sector,"Create the strategy on the type of content to be delivered to the target groups and which media to be used, taking into account the characteristics of the target audience and the media that will be used for content delivery."
develop-online-community-plan,develop online community plan,skill/competence,sector-specific,"Create the community's plan to grow the online community, build usage, retain recent users and increase the user's participation."
develop-organisational-information-goals,develop organisational information goals,skill/competence,occupation-specific,"Develop and interpret organisational information goals, creating specific policies and procedures."
develop-organisational-policies,develop organisational policies,skill/competence,cross-sector,Develop and supervise the implementation of policies aimed at documenting and detailing the procedures for the operations of the organisation in the lights of its strategic planning.
develop-product-design,develop product design,skill/competence,sector-specific,Convert market requirements into product design and development.
develop-professional-network,develop professional network,skill/competence,cross-sector,Reach out to and meet up with people in a professional context. Find common ground and use your contacts for mutual benefit. Keep track of the people in your personal professional network and stay up to date on their activities.
develop-professional-network-with-researchers-and-scientists,develop professional network with researchers and scientists,skill/competence,cross-sector,"Develop alliances, contacts or partnerships, and exchange information with others. Foster integrated and open collaborations where different stakeholders co-create shared value research and innovations. Develop your personal profile or brand and make yourself visible and available in face-to-face and online networking environments."
develop-programming-schedule,develop programming schedule,skill/competence,sector-specific,Develop a schedule for the broadcast of television and radio programs. Decide how much airtime a program gets.
develop-reporting-software,develop reporting software,skill/competence,occupation-specific,Create reporting software and applications used for creating reports on data.
develop-revenue-generation-strategies,develop revenue generation strategies,skill/competence,sector-specific,Elaborate methodologies through which a company markets and sells a product or service to generate income.
develop-software-prototype,develop software prototype,skill/competence,sector-specific,Create a first incomplete or preliminary version of a piece of software application to simulate some specific aspects of the final product.
develop-solutions-to-information-issues,develop solutions to information issues,skill/competence,cross-sector,Analyse information needs and challenges to develop effective technological solutions.
develop-statistical-software,develop statistical software,skill/competence,cross-sector,"Participate in the various development stages of computer programs for econometric and statistical analysis, such as research, new product development, prototyping, and maintenance."
develop-strategy-to-solve-problems,develop strategy to solve problems,skill/competence,cross-sector,"Develop specific goals and plans to prioritise, organise, and accomplish work."
develop-technological-improvement-strategies,develop technological improvement strategies,skill/competence,sector-specific,"Create plans for the development and implementation of strategies which facilitate improvements in technological projects and in the efficiency of the project's procedures, taking into account analyses and relevant regulations."
develop-training-programmes,develop training programmes,skill/competence,sector-specific,Design programmes where employees or future employees are taught the necessary skills for the job or to improve and expand skills for new activities or tasks. Select or design activities aimed at introducing the work and systems or improving the performance of individuals and groups in organisational settings.
develop-virtual-game-engine,develop virtual game engine,skill/competence,sector-specific,Create a virtual software framework that abstracts the details of doing common game-related tasks.
develop-with-cloud-services,develop with cloud services,skill/competence,sector-specific,"Write code that interacts with cloud services by using APIs, SDKs, and cloud CLI. Write code for serverless applications, translate functional requirements into application design, implement application design into application code."
develop-working-procedures,develop working procedures,skill/competence,cross-sector,Create standardised series of actions of a certain order to support the organisation.
development-delays,development delays,knowledge,cross-sector,The condition in which a child or adult needs more time to reach certain development milestones than that needed by the average person not affected by a development delay.
devops,DevOps,knowledge,sector-specific,The DevOps development approach is a methodology to design software systems and applications focused on the collaboration and between software programmers and other ICT professionals and automation.
digital-compositing,digital compositing,knowledge,cross-sector,"The process and software for digitally assembling multiple images to make one, final image."
digital-game-creation-systems,digital game creation systems,knowledge,sector-specific,"The integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
digital-game-genres,digital game genres,knowledge,sector-specific,"The classification of video games based on their interaction with the game media, such as simulation games, strategy games, adventure games and arcade games."
digital-image-processing,digital image processing,knowledge,cross-sector,"The different aspects and practices of image processing and manipulation like image interpolation, aliasing, image enhancement, contrast stretching, histogram processing and equalization, singular value decomposition, singular value equalization, wavelets filtering and many others."
digital-marketing-techniques,digital marketing techniques,knowledge,sector-specific,"The marketing techniques used on the web to reach and engage with stakeholders, customers and clients."
digitise-documents,digitise documents,skill/competence,cross-sector,"Load analog documents by converting them into a digital format, using specialised hardware and software."
direct-inward-dialing,direct inward dialing,knowledge,sector-specific,"The telecommunication service that provides a company with a series of telephone numbers for internal use, such as individual telephone numbers for each employee or every workstation. Using Direct Inward Dialing (DID), a company does not need another line for every connection."
disability-care,disability care,knowledge,sector-specific,"The specific methods and practices used in providing care to people with physical, intellectual and learning disabilities."
disability-types,disability types,knowledge,cross-sector,"The nature and types of disabilities affecting the human beings such as physical, cognitive, mental, sensory, emotional or developmental and the specific needs and access requirements of disabled people."
discharge-employees,discharge employees,skill/competence,cross-sector,Dismiss employees from their job.
discuss-artwork,discuss artwork,skill/competence,sector-specific,"Introduce and discuss the nature and content of art work, achieved or to be produced with an audience, art directors, catalogue editors, journalists, and other parties of interest."
dispose-of-hazardous-waste,dispose of hazardous waste,skill/competence,cross-sector,Dispose of dangerous materials such as chemical or radioactive substances according to environmental and to health and safety regulations.
disseminate-internal-communications,disseminate internal communications,skill/competence,cross-sector,Disseminate internal communications using the different communication channels that a company has at its disposal.
disseminate-results-to-the-scientific-community,disseminate results to the scientific community,skill/competence,cross-sector,"Publicly disclose scientific results by any appropriate means, including conferences, workshops, colloquia and scientific publications."
distributed-computing,distributed computing,knowledge,sector-specific,The software process in which computer components interact over a network and send messages to communicate on their actions.
distributed-directory-information-services,distributed directory information services,knowledge,sector-specific,"The directory services that automate the network management of security, user data and distributed resources and enable access to information in a computer system's directory."
do-cloud-refactoring,do cloud refactoring,skill/competence,sector-specific,"Optimize application to best use cloud services and features, migrate existing application code to run on cloud infrastructure."
document-management,document management,knowledge,sector-specific,"The methodology of tracking, managing and storing documents in a systematic and organised manner as well as keeping a record of the versions created and modified by specific users (history tracking)."
document-project-progress,document project progress,skill/competence,cross-sector,"Record the project planning and development, the work steps, the required resources and the final results in order to present and keep track of the realised and ongoing projects."
document-your-own-practice,document your own practice,skill/competence,sector-specific,"Documenting your own work practice for different purposes like assessment, time management, job application etc."
documentation-types,documentation types,knowledge,sector-specific,The characteristics of internal and external documentation types aligned with the product life cycle and their specific content types.
domotic-systems,domotic systems,knowledge,sector-specific,"Residential intelligent building installations for lighting, heating, security, etc that can be controlled remotely. Domotic systems aim at improving the quality of life inside houses and buildings, including enhancing the independence of people with disabilities and contributing to energy saving."
draft-bill-of-materials,draft bill of materials,skill/competence,cross-sector,"Set up a list of materials, components, and assemblies as well as the quantities needed to manufacture a certain product."
draft-design-specifications,draft design specifications,skill/competence,cross-sector,List the design specifications such as materials and parts to be used and a cost estimate.
draft-music-cue-breakdown,draft music cue breakdown,skill/competence,occupation-specific,"Draft a cue breakdown by rewriting the script from a musical point of view, helping the composer to estimate the tempo and meter of the score."
draft-project-documentation,draft project documentation,skill/competence,cross-sector,"Prepare project documentation such as project charters, work plans, project handbooks, progress reports, deliverables and stakeholder matrices."
draft-scientific-or-academic-papers-and-technical-documentation,draft scientific or academic papers and technical documentation,skill/competence,cross-sector,"Draft and edit scientific, academic or technical texts on different subjects."
draw-design-sketches,draw design sketches,skill/competence,cross-sector,Create rough pictures to assist in creating and communicating design concepts.
draw-sketches-to-develop-textile-articles-using-softwares,draw sketches to develop textile articles using softwares,skill/competence,sector-specific,"Draw sketches to develop textiles or wearing apparel using softwares. They create visualisations of the motives, patterns or products in order to be manufactured."
draw-up-artistic-production,draw up artistic production,skill/competence,sector-specific,File and document a production in all its phases right after the performance period so that it can be reproduced and all relevant information remains accessible.
draw-up-instrument-setup,draw up instrument setup,skill/competence,sector-specific,Document musical instrument setup.
draw-up-lighting-plan,draw up lighting plan,skill/competence,sector-specific,Create technical drawings and documentation within the lighting department.
drug-interaction-management,drug interaction management,knowledge,sector-specific,The managerial activities related to patient`s interaction with the medical treatment provided.
drupal,Drupal,knowledge,sector-specific,"The open-source web-based software system written in PHP, used for creating, editing, publishing and archiving blogs, articles, web pages or press releases, which requires a higher level of technical understanding of HTML, CSS and PHP."
e-commerce-systems,e-commerce systems,knowledge,sector-specific,"Basic digital architecture and commercial transactions for trading products or services conducted via Internet, e-mail, mobile devices, social media, etc."
e-learning,e-learning,knowledge,sector-specific,The strategies and didactical methods of learning in which the main elements include the use of ICT technologies.
e-learning-software-infrastructure,e-learning software infrastructure,knowledge,sector-specific,The infrastructure properties and specifications required to set up the e-learning environment which provides learning experiences to the audience.
eclipse-integrated-development-environment-software,Eclipse (integrated development environment software),knowledge,sector-specific,"The computer program Eclipse is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the Eclipse Foundation."
edit-digital-moving-images,edit digital moving images,skill/competence,sector-specific,Use specialised software to edit video images for use in an artistic production.
edit-negatives,edit negatives,skill/competence,sector-specific,Use different software products and techniques to process photographic negatives and adapt the images to the desired specifications.
edit-photographs,edit photographs,skill/competence,sector-specific,"Resize, enhance and retouche photographs, using airbrushing, editing software and other techniques."
edit-recorded-sound,edit recorded sound,skill/competence,sector-specific,"Edit audio footage using a variety of sofware, tools, and techniques such as crossfading, speed effects, and removing unwanted noises."
edmodo,Edmodo,knowledge,sector-specific,"The education network Edmodo is an e-learning platform for creating, administrating, arranging, reporting and delivering e-learning training and connecting teachers, students and parents."
educate-on-data-confidentiality,educate on data confidentiality,skill/competence,cross-sector,"Share information with and instruct users in the risks involved with data, especially risks to the confidentiality, integrity, or availability of data. Educate them on how to ensure data protection."
education-administration,education administration,knowledge,cross-sector,"The processes related to the administrative areas of an education institution, its director, employees, and students."
education-law,education law,knowledge,cross-sector,"The area of law and legislation that concerns education policies and the people working in the sector in an (inter)national context, such as teachers, students, and administrators."
electric-drives,electric drives,knowledge,sector-specific,Electromechanical systems that utilise electric motors to control the movement and processes of electrical machinery.
electrical-discharge,electrical discharge,knowledge,cross-sector,"The qualities and applications of electrical discharge, including voltage and electrodes."
electrical-engineering,electrical engineering,knowledge,cross-sector,"Understand electrical engineering, a field of engineering that deals with the study and application of electricity, electronics, and electromagnetism."
electrical-testing-methods,electrical testing methods,knowledge,cross-sector,"Test procedures performed on electrical equipment and machinery in order to check the performance and quality of the electrical equipment and their adherence to specifications. During these tests electrical properties, such as voltage, current, resistance, capacitance, and inductance, are measured using electrical measuring equipment, such as multimeters, oscilloscopes, and voltmeters."
electrical-wiring-plans,electrical wiring plans,knowledge,cross-sector,"Pictorial representation of an electrical circuit. It shows the components of the circuit as simplified shapes, and the power and signal connections between the devices. It gives information about the relative position and arrangement of devices and terminals on the devices, to help in building or servicing the device. A wiring diagram is often used to troubleshoot problems and to make sure that a"
electricity,electricity,knowledge,cross-sector,"Understand the principles of electricity and electrical power circuits, as well as the associated risks."
electricity-principles,electricity principles,knowledge,cross-sector,"Electricity is created when electric current flows along a conductor. It entails the movement of free electrons between atoms. The more free electrons are present in a material, the better this material conducts. The three main parameters of electricity are the voltage, current (ampère), and resistance (ohm)."
electromagnetism,electromagnetism,knowledge,sector-specific,The study of electromagnetic forces and the interaction between electric and magnetic fields. The interaction between electrically charged particles can create magnetic fields with a certain range or frequency and electricity can be produced by the changing of these magnetic fields.
electromagnets,electromagnets,knowledge,sector-specific,"Magnets in which magnetic fields are produced by electric current. By manipulating the electric current, the magnetic fields can be changed and manipulated as well, which allows more control than permanent non-electric magnets. Electromagnets are commonly used in electrical devices, such as loudspeakers, hard disks, MRI devices, and electric motors."
electronic-and-telecommunication-equipment,electronic and telecommunication equipment,knowledge,sector-specific,"The offered electronic and telecommunication equipment and products, their functionalities, properties and legal and regulatory requirements."
electronic-communication,electronic communication,knowledge,cross-sector,"Data communication performed through digital means such as computers, telephone or e-mail."
electronic-equipment-standards,electronic equipment standards,knowledge,cross-sector,"The national and international quality and safety standards and regulations with regards to the use and manufacture of electronic equipment and its components, such as semiconductors and printed circuit boards."
electronic-test-procedures,electronic test procedures,knowledge,cross-sector,"Testing protocols that enable a variety of analyses of electronic systems, products, and components. These tests include the testing of electrical properties, such as voltage, current, resistance, capacitance, and inductance as well as the testing of specific electronic components, such as the electron tubes, semiconductors, integrated circuits, and batteries. These tests include visual inspection"
electronics,electronics,knowledge,cross-sector,"The functioning of electronic circuit boards, processors, chips, and computer hardware and software, including programming and applications. Apply this knowledge to ensure electronic equipment runs smoothly."
electronics-principles,electronics principles,knowledge,sector-specific,"The study of electric energy, more specifically electron, control and its prominent principles regarding integrated circuits and electrical systems."
embedded-systems,embedded systems,knowledge,sector-specific,"The computer systems and components with a specialised and autonomous function within a larger system or machine such as embedded systems software architectures, embedded peripherals, design principles and development tools."
emergent-technologies,emergent technologies,knowledge,cross-sector,"The recent trends, developments and innovations in modern technologies such as biotechnology, artificial intelligence and robotics."
energy-saving-potential-of-automated-shift-systems,energy saving potential of automated shift systems,knowledge,occupation-specific,Potential to save energy in automated shift systems through mechanisms such as improved efficiency and better anticipation of upcoming events.
engage-composers,engage composers,skill/competence,sector-specific,Engage services of professional composers to write the score for a music piece.
engineering-control-theory,engineering control theory,knowledge,sector-specific,The interdisciplinary branch of engineering that deals with the behaviour of dynamical systems with inputs and how their behaviour is modified by feedback.
engineering-principles,engineering principles,knowledge,cross-sector,"The engineering elements like functionality, replicability, and costs in relation to the design and how they are applied in the completion of engineering projects."
engineering-processes,engineering processes,knowledge,sector-specific,The systematic approach to the development and maintenance of engineering systems.
engrade,Engrade,knowledge,sector-specific,"The computer program Engrade is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
enhance-website-visibility,enhance website visibility,skill/competence,cross-sector,"Promote the website to users, business partners and search engines. Optimise the website exposure to search engines, send out emails, determine pricing and policies and conduct marketing actions."
