skill_id,skill_name,skill_type,reuse_level,description
render-3d-images,render 3D images,skill/competence,cross-sector,Use specialised tools to convert 3D wire frame models into 2D images with 3D photorealistic effects or non-photorealistic rendering on a computer.
repair-equipment-on-site,repair equipment on site,skill/competence,cross-sector,"Identify malfunctions and repair or replace multi-media, audio-visual and computer systems, hardware and equipment on site."
repair-ict-devices,repair ICT devices,skill/competence,sector-specific,"Maintain and repair ICT related equipment such as laptops, desktops, tablets, mobile devices, communications equipment, printers and any piece of computer related peripheral. Detect faults, malfunctions and replace parts if necessary."
replace-machines,replace machines,skill/competence,cross-sector,Evaluate when to invest in replacing machines or machine tools and take the necessary actions.
replicate-customer-software-issues,replicate customer software issues,skill/competence,sector-specific,Use specialised tools to replicate and analyse the conditions that caused the set of software states or outputs reported by the customer in order to provide adequate solutions.
report-analysis-results,report analysis results,skill/competence,cross-sector,"Produce research documents or give presentations to report the results of a conducted research and analysis project, indicating the analysis procedures and methods which led to the results, as well as potential interpretations of the results."
report-on-environmental-issues,report on environmental issues,skill/competence,cross-sector,"Compile environmental reports and communicate on issues. Inform the public or any interested parties in a given context on relevant recent developments in the environment, forecasts on the future of the environment, and any problems and possible solutions."
report-test-findings,report test findings,skill/competence,cross-sector,"Report test results with a focus on findings and recommendations, differentiating results by levels of severity. Include relevant information from the test plan and outline the test methodologies, using metrics, tables, and visual methods to clarify where needed."
reprography,reprography,knowledge,cross-sector,"The process of reproducing, reprinting, or copying graphic material especially by mechanical or electronic means such as photography or xerography."
research-equipment-needs,research equipment needs,skill/competence,cross-sector,"Research equipment or required machine parts; compare sources, prices and delivery times."
research-new-ideas,research new ideas,skill/competence,cross-sector,Thorough research for information to develop new ideas and concepts for the design of a specific production based.
research-website-users,research website users,skill/competence,cross-sector,Record and analyse website traffic by distributing surveys or using e-commerce and analytics. Identify the needs and preferences of target visitors in order to apply marketing strategies to increase website traffic.
resolve-equipment-malfunctions,resolve equipment malfunctions,skill/competence,cross-sector,"Identify, report and repair equipment damage and malfunctions. Communicate with field representatives and manufacturers to obtain repair and replacement components."
resource-description-framework-query-language,resource description framework query language,knowledge,sector-specific,The query languages such as SPARQL which are used to retrieve and manipulate data stored in Resource Description Framework format (RDF).
respect-data-protection-principles,respect data protection principles,skill/competence,sector-specific,Ensure that access to personal or institutional data conforms to the legal and ethical framework governing such access.
respect-publication-formats,respect publication formats,skill/competence,cross-sector,Submit text material for printing purposes. Always respect the required and expected publication formats.
respond-to-customers-inquiries,respond to customers' inquiries,skill/competence,cross-sector,"Answer customers' questions about itineraries, rates and reservations in person, by mail, by e-mail and on the phone."
respond-to-enquiries,respond to enquiries,skill/competence,cross-sector,Respond to enquiries and requests for information from other organisations and members of the public.
respond-to-incidents-in-cloud,respond to incidents in cloud,skill/competence,sector-specific,Troubleshoot issues with the cloud and determine how to restore operations. Design and automate disaster recovery strategies and evaluate a deployment for points of failure.
review-development-process-of-an-organisation,review development process of an organisation,skill/competence,sector-specific,"Judge, review and decide on directions of innovation and development processes in an organisation in order to improve efficiency and reduce costs."
review-patient-s-medical-data,review patient's medical data,skill/competence,sector-specific,"Assess and review relevant medical data of patients such as X-rays, medical history and laboratory reports."
rewrite-musical-scores,rewrite musical scores,skill/competence,sector-specific,"Rewrite original musical scores in different musical genres and styles; change rhythm, harmony tempo or instrumentation."
rig-3d-characters,rig 3D characters,skill/competence,cross-sector,"Set up a skeleton, bound to the 3D mesh, made out of bones and joints that allow the 3D character to be bent into a desired position using specialized ICT tools."
rig-lights,rig lights,skill/competence,cross-sector,"Rig, connect, try out and de-rig lighting equipment."
risk-management,risk management,knowledge,cross-sector,"The process of identifying, assessing, and prioritising of all types of risks and where they could come from, such as natural causes, legal changes, or uncertainty in any given context, and the methods for dealing with risks effectively."
robotic-components,robotic components,knowledge,cross-sector,"The components that can be found in robotic systems, such as microprocessors, electronics, sensors, circuit boards, encoders, servomotors, controllers, pneumatics or hydraulics."
robotics,robotics,knowledge,cross-sector,"The branch of engineering that involves the design, operation, manufacture, and application of robots. Robotics is part of mechanical engineering, electrical engineering, and computer science and overlaps with mechatronics and automation engineering."
ruby-computer-programming,Ruby (computer programming),knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Ruby."
run-a-media-server,run a media server,skill/competence,cross-sector,Set up and run a media server.
run-a-projection,run a projection,skill/competence,sector-specific,Operate projection equipment safely and efficiently to project images on a background in an artistic or cultural context.
saas-service-oriented-modelling,SaaS (service-oriented modelling),knowledge,sector-specific,"The SaaS model consists of principles and fundamentals of service-oriented modelling for business and software systems that allow the design and specification of service-oriented business systems within a variety of architectural styles, such as enterprise architecture."
safeguard-artistic-quality-of-performance,safeguard artistic quality of performance,skill/competence,sector-specific,"Observe the show, anticipate and react to possible technical problems, ensuring optimal artistic quality."
safeguard-online-privacy-and-identity,safeguard online privacy and identity,skill/competence,cross-sector,"Apply methods and procedures to secure private information in digital spaces by limiting the sharing of personal data where possible, through use of passwords and settings on social networks, mobile device apps, cloud storage and other places, while ensuring other people's privacy; protect oneself from online fraud and threats and cyberbullying."
safety-engineering,safety engineering,knowledge,cross-sector,"The engineering discipline used to ensure that systems, machines and equipment work according to the set safety standards and laws, such as environmental law."
sakai,Sakai,knowledge,sector-specific,"The computer program Sakai is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the software company Apereo."
sales-argumentation,sales argumentation,knowledge,sector-specific,Techniques and sales methods used in order to present a product or service to customers in a persuasive manner and to meet their expectations and needs.
sales-promotion-techniques,sales promotion techniques,knowledge,sector-specific,The techniques used to persuade customers to purchase a product or a service.
sales-strategies,sales strategies,knowledge,sector-specific,The principles concerning customer behaviour and target markets with the aim of promotion and sales of a product or a service.
salt-tools-for-software-configuration-management,Salt (tools for software configuration management),knowledge,sector-specific,"The tool Salt is a software program to perform configuration identification, control, status accounting and audit."
samurai-web-testing-framework,Samurai Web Testing Framework,knowledge,sector-specific,The linux environment Samurai Web Testing Framework is a specialised penetration testing tool which tests security weaknesses of websites for potentially unauthorised access.
sap-data-services,SAP Data Services,knowledge,sector-specific,"The computer program SAP Data Services is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company SAP."
sap-r3,SAP R3,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAP R3."
sas-data-management,SAS Data Management,knowledge,sector-specific,"The computer program SAS Data Management is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company SAS."
sas-language,SAS language,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language."
sass,Sass,knowledge,sector-specific,"The computer language Sass is a style sheet language that conveys the presentation of structured documents. These documents have to adhere to style sheets, a set of stylistic rules such as font, color and layout."
scala,Scala,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Scala."
scan-photos,scan photos,skill/competence,sector-specific,"Scan images into computers for editing, storage, and electronic transmission."
schoology,Schoology,knowledge,sector-specific,"The computer program Schoology is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
scientific-research-methodology,scientific research methodology,knowledge,cross-sector,"The theoretical methodology used in scientific research involving doing background research, constructing an hypothesis, testing it, analysing data and concluding the results."
scratch-computer-programming,Scratch (computer programming),knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Scratch."
search-databases,search databases,skill/competence,cross-sector,Search for information or people using databases.
secondary-school-procedures,secondary school procedures,knowledge,cross-sector,"The inner workings of a secondary school, such as the structure of the relevant education support and management, the policies, and the regulations."
secure-sensitive-customer-s-information,secure sensitive customer's information,skill/competence,sector-specific,Select and apply security measures and regulations related to sensitive customer information with the aim of protecting their privacy.
seek-innovation-in-current-practices,seek innovation in current practices,skill/competence,cross-sector,"Search for improvements and present innovative solutions, creativity and alternative thinking to develop new technologies, methods or ideas for and answers to work-related problems."
select-artistic-materials-to-create-artworks,select artistic materials to create artworks,skill/competence,sector-specific,"Select artistic materials based on strength, colour, texture, balance, weight, size, and other characteristics that should guarantee the feasibility of the artistic creation regarding the expected shape, color, etc.- even though the result might vary from it. Artistic materials such as paint, ink, water colours, charcoal, oil, or computer software can be used as much as garbage, living products (f"
select-camera-apertures,select camera apertures,skill/competence,sector-specific,"Adjust lens apertures, shutter speeds and camera focus."
select-illustration-styles,select illustration styles,skill/competence,sector-specific,"Select the appropriate style, medium, and techniques of illustration in line with the needs of the project and client's requests."
select-recording-source,select recording source,skill/competence,occupation-specific,Select the source from which programs will be recorded such as satellite or studio.
send-faulty-equipment-back-to-assembly-line,send faulty equipment back to assembly line,skill/competence,cross-sector,Send equipment that didn't pass inspection back to the assembly line for re-assembly.
sensors,sensors,knowledge,cross-sector,"Sensors are transducers that can detect or sense characteristics in their environment. They detect changes in the apparatus or environment and provide a corresponding optical or electrical signal. Sensors are commonly divided in six classes: mechanical, electronic, thermal, magnetic, electrochemical, and optical sensors."
service-oriented-modelling,service-oriented modelling,knowledge,sector-specific,"The principles and fundamentals of service-oriented modelling for business and software systems that allow the design and specification of service-oriented business systems within a variety of architectural styles, such as enterprise architecture and application architecture."
set-quality-assurance-objectives,set quality assurance objectives,skill/competence,cross-sector,"Define quality assurance targets and procedures and see to their maintenance and continued improvement by reviewing targets, protocols, supplies, processes, equipment and technologies for quality standards."
set-sales-goals,set sales goals,skill/competence,sector-specific,Set sales goals and objectives to be reached by a sales team within a period of time such as the target amount of sales made and new customers found.
set-up-a-multi-track-recording,set up a multi-track recording,skill/competence,sector-specific,Make the necessary preparations to record music or other sounds on several tracks.
set-up-animation-elements,set up animation elements,skill/competence,sector-specific,"Test and set up characters, props or environments to ensure they appear correctly from all required camera positions and angles."
set-up-audiovisual-peripheral-equipment,set up audiovisual peripheral equipment,skill/competence,cross-sector,"Set up audiovisual peripheral equipment such as tripods, cables, microphones, monitors, and others."
set-up-automotive-robot,set up automotive robot,skill/competence,cross-sector,"Set up and programme an automotive robot working on machine processes and substituting or collaboratively supporting human labour, such as the six-axis automotive robot."
set-up-basic-recording,set up basic recording,skill/competence,sector-specific,Set up a basic stereo audio recording system.
set-up-broadcast-equipment,set up broadcast equipment,skill/competence,occupation-specific,"Set up and calibrate broadcast equipment to produce, switch, receive, record, edit, and reproduce television and radio signals."
set-up-cameras,set up cameras,skill/competence,sector-specific,Put cameras in place and prepare them for use.
set-up-equipment-in-a-timely-manner,set up equipment in a timely manner,skill/competence,sector-specific,Make sure to set up equipment according to deadlines and time schedules.
set-up-light-board,set up light board,skill/competence,sector-specific,"Install, connect and try out light board in a live performance environment."
set-up-machine-controls,set up machine controls,skill/competence,cross-sector,"Set up or adjust machine controls to regulate conditions such as material flow, temperature, or pressure."
set-up-multimedia-equipment,set up multimedia equipment,skill/competence,occupation-specific,"Set up and test the multimedia and related systems and technology, according to their specifications."
set-up-portable-field-transmission-equipment,set up portable field transmission equipment,skill/competence,occupation-specific,Set up and operate portable transmission equipment when broadcasting takes place outside of the studio.
set-up-projection-equipment,set up projection equipment,skill/competence,sector-specific,Install and connect equipment for projection in an artistic context.
set-up-sound-equipment,set up sound equipment,skill/competence,sector-specific,Set up equipment to record sound. Test acoustics and make adjustments.
set-up-sound-reinforcement-system,set up sound reinforcement system,skill/competence,sector-specific,Set up an analogue sound reinforcement system in a live situation.
set-up-the-controller-of-a-machine,set up the controller of a machine,skill/competence,cross-sector,Set up and give commands to a machine by dispatching the appropriate data and input into the (computer) controller corresponding with the desired processed product.
shiva-digital-game-creation-systems,Shiva (digital game creation systems),knowledge,sector-specific,"The cross-platform game engine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
signal-cues-to-announcers,signal cues to announcers,skill/competence,occupation-specific,Signal when a song or commercial is about to end or begin to announcers so they know when to start or stop talking.
signal-processing,signal processing,knowledge,sector-specific,"The algorithms, applications and implementations that deal with the processing and transferring of information through analog or digital frequencies."
simulate-mechatronic-design-concepts,simulate mechatronic design concepts,skill/competence,sector-specific,Simulate mechatronic design concepts through creating mechanical models and performing tolerance analysis.
sketchbook-pro,SketchBook Pro,knowledge,sector-specific,The computer program SketchBook Pro is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Autodesk.
smalltalk-computer-programming,Smalltalk (computer programming),knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Smalltalk."
smart-contract,smart contract,knowledge,sector-specific,A software program in which the terms of a contract or transaction are directly coded. Smart contracts are executed automatically upon fulfilment of the terms and therefore require no third party to oversee and register the contract or transaction.
social-media-marketing-techniques,social media marketing techniques,knowledge,cross-sector,The marketing methods and strategies used to increase attention and website traffic through social media channels.
software-anomalies,software anomalies,knowledge,sector-specific,"The deviations of what is standard and exceptional events during software system performance, identification of incidents that can alter the flow and the process of system execution."
software-architecture-models,software architecture models,knowledge,sector-specific,"The set of structures and models needed to understand or describe the software system, including the software elements, the relations between them and the properties of both elements and relations."
software-components-libraries,software components libraries,knowledge,sector-specific,"The software packages, modules, web services and resources that cover a set of related functions and the databases where these reusable components can be found."
software-components-suppliers,software components suppliers,knowledge,sector-specific,The suppliers who can deliver the required software components.
software-design-methodologies,software design methodologies,knowledge,sector-specific,"The methodologies such as Scrum, V-model and Waterfall to design software systems and applications."
software-frameworks,software frameworks,knowledge,sector-specific,The software development environments or tools used to improve the efficiency of new software development by providing specific features that support and guide the development.
software-interaction-design,software interaction design,knowledge,sector-specific,The methodologies for designing interaction between users and a software product or service to satisfy the needs and preferences of most of the people who will interface with the product and to simplify the communication between product and user such as Goal-oriented design.
software-metrics,software metrics,knowledge,sector-specific,The metrics that measure a characteristic of the software system in order to determine the development of the software and evaluate it.
