skill_id,skill_name,skill_type,reuse_level,description
java-computer-programming,Java (computer programming),knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Java."
javascript,JavaScript,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in JavaScript."
javascript-framework,JavaScript Framework,knowledge,sector-specific,"The JavaScript software development environments which provide specific features and components ( such as HTML generation tools, Canvas support or Visual design) that support and guide JavaScript web applications development."
jboss,Jboss,knowledge,sector-specific,The open-source application server JBoss is a Linux based platform which supports Java applications and large websites.
jenkins-tools-for-software-configuration-management,Jenkins (tools for software configuration management),knowledge,sector-specific,"The tool Jenkins is a software program to perform configuration identification, control, status accounting and audit of software during its development and maintenance."
john-the-ripper-penetration-testing-tool,John The Ripper (penetration testing tool),knowledge,sector-specific,The tool John the Ripper is a password recovery tool which tests security weaknesses of the systems for potentially unauthorised access to system information. The key features of this tool are the strength-checking code and password hash code.
jsss,JSSS,knowledge,sector-specific,"The computer language JSSS is a style sheet language that conveys the presentation of structured documents. These documents have to adhere to style sheets, a set of stylistic rules such as font, color and layout."
kali-linux,Kali Linux,knowledge,sector-specific,"The Kali Linux tool is a penetration testing tool which tests security weaknesses of the systems for potentially unauthorised access to system information by information gathering, vulnerability analysis and wireless and passwords attacks."
kdevelop,KDevelop,knowledge,sector-specific,"The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE."
keep-personal-administration,keep personal administration,skill/competence,cross-sector,File and organise personal administration documents comprehensively.
keep-records-of-attendance,keep records of attendance,skill/competence,cross-sector,Keep track of the pupils who are absent by recording their names on a list of absentees.
keep-records-of-customer-interaction,keep records of customer interaction,skill/competence,cross-sector,"Recording details of inquiries, comments and complaints received from customers, as well as actions to be taken."
keep-records-of-work-progress,keep records of work progress,skill/competence,cross-sector,"Maintain records of the progress of the work including time, defects, malfunctions, etc."
keep-records-on-sales,keep records on sales,skill/competence,sector-specific,"Keep records of the activities of the sales of products and services, tracking which products and services were sold when and maintaining customer records, in order to facilitate improvements in the sales department."
keep-task-records,keep task records,skill/competence,cross-sector,Organise and classify records of prepared reports and correspondence related to the performed work and progress records of tasks.
keep-up-to-date-on-product-knowledge,keep up to date on product knowledge,skill/competence,sector-specific,"Gather the latest information on developments related to the existing or supported products, methods or techniques."
keep-up-with-digital-transformation-of-industrial-processes,keep up with digital transformation of industrial processes,skill/competence,sector-specific,Keep up to date with digital innovations applicable to industrial processes. Integrate these transformations in the company's processes aiming for competitive and profitable business models.
keep-up-with-the-latest-information-systems-solutions,keep up with the latest information systems solutions,skill/competence,sector-specific,"Gather the latest information on existing information systems solutions which integrate software and hardware, as well as network components."
keep-up-with-trends,keep up with trends,skill/competence,cross-sector,Monitor and follow new trends and developments in specific sectors.
keep-up-to-date-with-training-subjects,keep up-to-date with training subjects,skill/competence,sector-specific,Gather the latest information on the subjects of the training process in order to be updated with the required know-how.
keywords-in-digital-content,keywords in digital content,knowledge,sector-specific,The digital tools to conduct keyword research. The information retrieval systems identify the content of a document guided by keywords and metadata.
labour-legislation,labour legislation,knowledge,cross-sector,"Legislation, on a national or international level, that governs labour conditions in various fields between labour parties such as the government, employees, employers, and trade unions."
lams,LAMS,knowledge,sector-specific,"The computer program LAMS is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the LAMS Foundation."
lathe-machine-parts,lathe machine parts,knowledge,cross-sector,"The different parts of a lathe machine and their applications, such as the compound, the bed, the sadle, the cross slide, the cutting tool, the lathe dog and more."
ldap,LDAP,knowledge,sector-specific,The computer language LDAP is a query language for retrieval of information from a database and of documents containing the needed information.
lead-a-team,lead a team,skill/competence,cross-sector,"Lead, supervise and motivate a group of people, in order to meet the expected results within a given timeline and with the foreseen resources in mind."
lead-disaster-recovery-exercises,lead disaster recovery exercises,skill/competence,sector-specific,"Head exercises which educate people on what to do in case of an unforeseen disastrous event in the functioning or security of ICT systems, such as on recovery of data, protection of identity and information and which steps to take in order to prevent further problems."
lead-technology-development-of-an-organisation,lead technology development of an organisation,skill/competence,sector-specific,Develop activities surrounding innovation and research in the field of technology within an organisation based on its strategic direction and growth goals. Provide guidance to colleagues how to best implement them.
leadership-principles,leadership principles,knowledge,cross-sector,"Set of traits and values which guide the actions of a leader with her/his employees and the company and provide direction throughout her/his career. These principles are also an important tool for self-evaluation to identify strengths and weaknesses, and seek self-improvement."
lean-project-management,Lean project management,knowledge,sector-specific,"The lean project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools."
learning-difficulties,learning difficulties,knowledge,cross-sector,"The learning disorders some students face in an academic context, especially Specific Learning Difficulties such as dyslexia, dyscalculia, and concentration deficit disorders."
learning-management-systems,learning management systems,knowledge,cross-sector,"The e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
learning-needs-analysis,learning needs analysis,knowledge,cross-sector,"The process of analysing a student's learning needs through observation and testing, potentially followed by the diagnosis of a learning disorder and a plan for additional support."
learning-technologies,learning technologies,knowledge,sector-specific,"The technologies and channels, including digital, to enhance learning."
legal-case-management,legal case management,knowledge,cross-sector,"The procedures of a legal case from opening to closing, such as the documentation that needs to be prepared and handled, the people involved in different stages of the case, and the requirements that need to be met before the case can be closed."
legal-requirements-of-ict-products,legal requirements of ICT products,knowledge,cross-sector,The international regulations related to the development and use of ICT products.
legal-research,legal research,knowledge,cross-sector,"The methods and procedures of research in legal matters, such as the regulations, and different approaches to analyses and source gathering, and the knowledge on how to adapt the research methodology to a specific case to obtain the required information."
legal-standards-in-gambling,legal standards in gambling,knowledge,sector-specific,"The legal requirements, rules and limitations in gambling and betting activities."
legal-terminology,legal terminology,knowledge,cross-sector,The special terms and phrases used in the field of law.
less,LESS,knowledge,sector-specific,"The computer language LESS is a style sheet language that conveys the presentation of structured documents. These documents have to adhere to style sheets, a set of stylistic rules such as font, color and layout."
levels-of-software-testing,levels of software testing,knowledge,sector-specific,"The levels of testing in the software development process, such as unit testing, integration testing, system testing and acceptance testing."
liaise-with-educational-staff,liaise with educational staff,skill/competence,cross-sector,"Communicate with the school staff such as teachers, teaching assistants, academic advisors, and the principal on issues relating to students' well-being. In the context of a university, liaise with the technical and research staff to discuss research projects and courses-related matters."
liaise-with-educational-support-staff,liaise with educational support staff,skill/competence,cross-sector,"Communicate with education management, such as the school principal and board members, and with the education support team such as the teaching assistant, school counsellor or academic advisor on issues relating the students' well-being."
liaise-with-engineers,liaise with engineers,skill/competence,cross-sector,"Collaborate with engineers to ensure common understanding and discuss product design, development and improvement."
lighting-techniques,lighting techniques,knowledge,cross-sector,The characteristics of techniques used to create atmospheres and effects on camera or on stage; the equipment required and appropriate setup to use.
linq,LINQ,knowledge,sector-specific,The computer language LINQ is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the software company Microsoft.
lisp,Lisp,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Lisp."
litmos,Litmos,knowledge,sector-specific,"The computer program Litmos is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the software company CallidusCloud."
load-equipment,load equipment,skill/competence,cross-sector,Handle safe loading of equipment in given restrictive conditions.
load-film-reels,load film reels,skill/competence,occupation-specific,Load the film reels into the projector and unload them after the projection.
machine-learning,machine learning,knowledge,cross-sector,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models."
maintain-a-central-project-repository,maintain a central project repository,skill/competence,cross-sector,Store project files and documents in a central repository accessible to the project manager and to all the project teams. Use available online tools and dedicated software.
maintain-an-artistic-portfolio,maintain an artistic portfolio,skill/competence,sector-specific,"Maintain portfolios of artistic work to show styles, interests, abilities and realisations."
maintain-audiovisual-equipment,maintain audiovisual equipment,skill/competence,sector-specific,"Perform routine maintenance tasks on audiovisual equipment as well as minor repairs, such as replacing parts and calibrating the instruments, on equipment used in processing sound and images."
maintain-broadcast-equipment,maintain broadcast equipment,skill/competence,occupation-specific,"Maintain, check, and repair broadcast equipment to ensure continuity of operations."
maintain-computer-hardware,maintain computer hardware,skill/competence,cross-sector,"Diagnose and detect malfunctions in computer hardware components and systems and remove, replace, or repair these components when necessary. Execute preventative equipment maintenance tasks, such as storing hardware components in clean, dust free, and non-humid spaces."
maintain-control-systems-for-automated-equipment,maintain control systems for automated equipment,skill/competence,sector-specific,"Check, maintain and repair electrical and electronic elements. Check and update software of automated equipment."
maintain-customer-records,maintain customer records,skill/competence,cross-sector,Keep and store structured data and records about customers in accordance with customer data protection and privacy regulations.
maintain-data-entry-requirements,maintain data entry requirements,skill/competence,sector-specific,Uphold conditions for data entry. Follow procedures and apply data program techniques.
maintain-database-performance,maintain database performance,skill/competence,sector-specific,Calculate values for database parameters. Implement new releases and execute regular maintenance tasks such as establishing backup strategies and eliminating index fragmentation.
maintain-database-security,maintain database security,skill/competence,sector-specific,Master a wide variety of information security controls in order to pursue maximal database protection.
maintain-electrical-equipment,maintain electrical equipment,skill/competence,cross-sector,"Test electrical equipment for malfunctions. Take safety measures, company guidelines, and legislation concerning electrical equipment into account. Clean, repair and replace parts and connections as required."
maintain-electronic-equipment,maintain electronic equipment,skill/competence,cross-sector,"Check and repair electronic equipment. Detect malfunction, locate faults and take measures to prevent damage."
maintain-ict-identity-management,maintain ICT identity management,skill/competence,sector-specific,"Administer identification, authentication and authorisation of individuals within a system and control their access to resources by associating user rights and restrictions with the established identity."
maintain-ict-server,maintain ICT server,skill/competence,sector-specific,"Diagnose and eliminate hardware faults via repair or replacement. Take preventive measures, review performance, update software, review accessibility."
maintain-ict-system,maintain ICT system,skill/competence,sector-specific,Select and apply system and network monitoring techniques. Identify and fix operational problems. Ensure that system's capabilities and efficiency match company specifications.
maintain-information-network-hardware,maintain information network hardware,skill/competence,cross-sector,"Assess the functionality and identify faults in the infrastructure of an information network, perform routine maintenance tasks which prevent failure and repair tasks in order to ensure permanent availability to system users."
maintain-internal-communication-systems,maintain internal communication systems,skill/competence,cross-sector,Maintain an effective internal communication system among employees and department managers.
maintain-internet-protocol-configuration,maintain internet protocol configuration,skill/competence,sector-specific,Apply Internet Protocol Configuration (ipconfig) to gather data on Transmission Control Protocol/Internet Protocol (TCP/IP) configuration values in order to identify devices and their IP addresses.
maintain-plan-for-continuity-of-operations,maintain plan for continuity of operations,skill/competence,sector-specific,"Update methodology which contains steps to ensure that facilities of an organisation are able to continue operating, in case of broad range of unforeseen events."
maintain-projection-equipment,maintain projection equipment,skill/competence,occupation-specific,"Maintain, test and repair the projection equipment to safeguard the quality of the images and sound."
maintain-relationship-with-customers,maintain relationship with customers,skill/competence,sector-specific,"Build a lasting and meaningful relationship with customers in order to ensure satisfaction and fidelity by providing accurate and friendly advice and support, by delivering quality products and services and by supplying after-sales information and service."
maintain-relationship-with-suppliers,maintain relationship with suppliers,skill/competence,sector-specific,"Build a lasting and meaningful relationship with suppliers and service providers in order to establish a positive, profitable and enduring collaboration, co-operation and contract negotiation."
maintain-responsive-design,maintain responsive design,skill/competence,occupation-specific,Ensure that the website runs on the latest technology and is multi-platform compatible and mobile-friendly.
maintain-robotic-equipment,maintain robotic equipment,skill/competence,sector-specific,"Diagnose and detect malfunctions in robotic components and systems and remove, replace, or repair these components when necessary. Execute preventative equipment maintenance tasks, such as storing robotic components in clean, dust-free, and non-humid spaces."
maintain-safe-engineering-watches,maintain safe engineering watches,skill/competence,sector-specific,"Observe principles in keeping an engineering watch. Take over, accept and hand over a watch. Perform routine duties undertaken during a watch. Maintain the machinery space logs and the significance of the readings taken. Observe safety and emergency procedures. Observe safety precautions during a watch and take immediate actions in the event of fire or accident, with particular reference to oil sy"
maintain-sound-equipment,maintain sound equipment,skill/competence,sector-specific,"Set up, check, maintain and repair sound equipment for a live performance establishment."
maintain-students-discipline,maintain students' discipline,skill/competence,cross-sector,Make sure students follow the rules and code of behaviour established in the school and take the appropriate measures in case of violation or misbehaviour.
maintain-system-layout-for-a-production,maintain system layout for a production,skill/competence,sector-specific,Establish a workable layout for the system you manage and maintain it for the duration of a production.
maintain-telephony-system,maintain telephony system,skill/competence,sector-specific,"Prevent telephone faults. Report to the electricians for changing of the equipment and manage telephone installations and moves. Maintain voice-mail system which includes adding, deleting mailboxes and managing security codes and provide voicemail instruction for staff."
maintain-test-equipment,maintain test equipment,skill/competence,cross-sector,Maintain equipment used for testing the quality of systems and products.
maintenance-of-printing-machines,maintenance of printing machines,knowledge,sector-specific,Upkeep procedures and technical working of machines that produce printed graphical material.
maintenance-operations,maintenance operations,knowledge,cross-sector,"The preservation and restoration of products and systems, and the methods and logistics of these practices."
make-strategic-business-decisions,make strategic business decisions,skill/competence,cross-sector,"Analyse business information and consult directors for decision making purposes in a varied array of aspects affecting the prospect, productivity and sustainable operation of a company. Consider the options and alternatives to a challenge and make sound rational decisions based on analysis and experience."
maltego,Maltego,knowledge,sector-specific,"The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures."
manage-a-team,manage a team,skill/competence,cross-sector,"Ensure clear and effective channels of communication across all departments within the organisation and support functions, both internally and externally ensuring that the team is aware of the standards and objectives of the department/business unit. Implement the disciplinary and grievance procedures as required ensuring that a fair and consistent approach to managing performance is consistently "
manage-alarm-system,manage alarm system,skill/competence,sector-specific,Set up and maintain system for detection of intrusions and unauthorised entries into a facility.
manage-archive-users-guidelines,manage archive users guidelines,skill/competence,sector-specific,Establish policy guidelines on public access to a (digital) archive and the cautious use of present materials. Communicate the guidelines to archive visitors.
manage-briefs-for-clothing-manufacturing,manage briefs for clothing manufacturing,skill/competence,sector-specific,Manage briefs from clients for the manufacturing of wearing apparel. Collect customers' demands and prepare them into specifications for the production.
manage-budgets,manage budgets,skill/competence,cross-sector,"Plan, monitor and report on the budget."
manage-business-knowledge,manage business knowledge,skill/competence,cross-sector,"Set up structures and distribution policies to enable or improve information exploitation using appropriate tools to extract, create and expand business mastery."
manage-changes-in-ict-system,manage changes in ICT system,skill/competence,sector-specific,"Plan, realise and monitor system changes and upgrades. Maintain earlier system versions. Revert, if necessary, to a safe older system version."
manage-closed-circuit-television-system,manage closed-circuit television system,skill/competence,cross-sector,Oversee a system of cameras inside a facility which transmit a signal to a specific set of display devices.
manage-cloud-data-and-storage,manage cloud data and storage,skill/competence,sector-specific,"Create and manage cloud data retention. Identify and implement data protection, encryption, and capacity planning needs."
manage-consumables-stock,manage consumables stock,skill/competence,cross-sector,Manage and monitor consumables stock to ensure that the production demands and deadlines can be met at all times.
manage-content-development-projects,manage content development projects,skill/competence,sector-specific,"Plan and implement the creation, delivery and management of digital or printed content, develop a system that describes the entire editorial content development and publishing process and use ICT tools to support the process."
manage-content-metadata,manage content metadata,skill/competence,cross-sector,"Apply content management methods and procedures to define and use metadata concepts, such as the data of creation, in order to describe, organise and archive content such as documents, video and audio files, applications and images."
manage-contracts,manage contracts,skill/competence,cross-sector,"Negotiate the terms, conditions, costs and other specifications of a contract while making sure they comply with legal requirements and are legally enforceable. Oversee the execution of the contract, agree on and document any changes in line with any legal limitations."
manage-data,manage data,skill/competence,sector-specific,"Administer all types of data resources through their lifecycle by performing data profiling, parsing, standardisation, identity resolution, cleansing, enhancement and auditing. Ensure the data is fit for purpose, using specialised ICT tools to fulfil the data quality criteria."
manage-data-collection-systems,manage data collection systems,skill/competence,sector-specific,"Develop and manage methods and strategies used to maximise data quality and statistical efficiency in the collection of data, in order to ensure the gathered data are optimised for further processing."
manage-data-for-legal-matters,manage data for legal matters,skill/competence,sector-specific,"Collect, organise and prepare data for analysis and review during investigation, regulatory filings and other legal processes."
manage-database,manage database,skill/competence,cross-sector,"Apply database design schemes and models, define data dependencies, use query languages and database management systems (DBMS) to develop and manage databases."
manage-digital-archives,manage digital archives,skill/competence,sector-specific,"Create and maintain computer archives and databases, incorporating latest developments in electronic information storage technology."
manage-digital-documents,manage digital documents,skill/competence,cross-sector,"Manage various data formats and files by naming, publishing, transforming and sharing files and documents and transforming file formats."
manage-digital-identity,manage digital identity,skill/competence,cross-sector,"Create and manage one or multiple digital identities, be able to protect one's own reputation, deal with the data that one produces through several digital tools, environments and services."
manage-digital-libraries,manage digital libraries,skill/competence,sector-specific,"Collect, manage and preserve for permanent access digital content and offer to targeted user communities specialised search and retrieval functionality."
manage-disaster-recovery-plans,manage disaster recovery plans,skill/competence,cross-sector,"Prepare, test and execute, when necessary, a plan of action to retrieve or compensate lost information system data."
manage-email-hosting-service,manage email hosting service,skill/competence,sector-specific,"Oversee the day-to-day running of a private email platform by maintaining and refining provided services, such as spam and virus protection, blocking advertisement, website redesigns and search engine optimisation."
manage-employee-complaints,manage employee complaints,skill/competence,cross-sector,"Manage and respond to employee complaints, in a correct and polite manner, offering a solution when possible or referring it to an authorized person when necessary."
manage-engineering-project,manage engineering project,skill/competence,cross-sector,"Manage engineering project resources, budget, deadlines, and human resources, and plan schedules as well as any technical activities pertinent to the project."
manage-environmental-impact-of-operations,manage environmental impact of operations,skill/competence,cross-sector,"Manage the interaction with and impact on the environment by companies. Identify and assess environmental impacts of the production process and related services, and regulate a reduction of the effects on the environment and on people. Organise action plans and monitor any indicators of improvement."
manage-feedback,manage feedback,skill/competence,cross-sector,Provide feedback to others. Evaluate and respond constructively and professionally to critical communication from colleagues and customers.
manage-findable-accessible-interoperable-and-reusable-data,manage findable accessible interoperable and reusable data,skill/competence,cross-sector,"Produce, describe, store, preserve and (re) use scientific data based on FAIR (Findable, Accessible, Interoperable, and Reusable) principles, making data as open as possible, and as closed as necessary."
manage-flight-data-communications-programme,manage flight data communications programme,skill/competence,sector-specific,"Manage the exchanges of digital data between air traffic controllers and pilots to enable efficient aviation operations, such as trajectory-based routing and optimised profile descents. Support the safety-of-flight command, control, and information services by providing data connectivity. Provide ground automated message generation, transmission, and routing."
manage-government-funded-programmes,manage government-funded programmes,skill/competence,cross-sector,"Implement and monitor the development of projects subsidized by regional, national or European authorities."
manage-healthcare-staff,manage healthcare staff,knowledge,cross-sector,The managerial tasks and responsibilities required in a health care setting.
manage-human-resources,manage human resources,skill/competence,cross-sector,"Conduct employee recruitment, helping employees to develop their personal and organisational skills, knowledge, and competencies as well as providing feedback and performance appraisals. It includes motivating employees, by implementing rewarding systems (managing pay and benefit systems) in order to maximise employee performance with regard to employer's strategic objectives."
manage-ict-change-request-process,manage ICT change request process,skill/competence,sector-specific,"Specify the incentive for an ICT change request, stating which adjustment in the system needs to be accomplished and execute or supervise the execution of it."
manage-ict-data-architecture,manage ICT data architecture,skill/competence,sector-specific,"Oversee regulations and use ICT techniques to define the information systems architecture and to control data gathering, storing, consolidation, arrangement and usage in an organisation."
manage-ict-data-classification,manage ICT data classification,skill/competence,sector-specific,Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.
manage-ict-legacy-implication,manage ICT legacy implication,skill/competence,sector-specific,"Oversee the transfer process from a legacy (an outdated system) to a current system by mapping, interfacing, migrating, documenting and transforming data."
manage-ict-project,manage ICT project,skill/competence,sector-specific,"Plan, organize, control and document procedures and resources, such as human capital, equipment and mastery, in order to achieve specific goals and objectives related to ICT systems, services or products, within specific constraints, such as scope, time, quality and budget."
manage-ict-semantic-integration,manage ICT semantic integration,skill/competence,sector-specific,"Oversee integration of public or internal databases and other data, by using semantic technologies to produce structured semantic output."
manage-ict-virtualisation-environments,manage ICT virtualisation environments,skill/competence,sector-specific,"Oversee tools, such as VMware, kvm, Xen, Docker, Kubernetes, and others, used to enable a virtual environments for different purposes such as hardware virtualization, desktop virtualisation, and operating system level virtualisation."
manage-information-sources,manage information sources,skill/competence,cross-sector,Identify relevant internal and external information sources and providers. Organise the information workflow and define information deliverables.
manage-intellectual-property-rights,manage intellectual property rights,skill/competence,sector-specific,Deal with the private legal rights that protect the products of the intellect from unlawful infringement.
manage-inventory,manage inventory,skill/competence,sector-specific,Control product inventory in balance of availability and storage costs.
manage-it-security-compliances,manage IT security compliances,skill/competence,sector-specific,"Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security."
manage-keys-for-data-protection,manage keys for data protection,skill/competence,sector-specific,"Select appropriate authentication and authorization mechanisms. Design, implement and troubleshoot key management and use. Design and implement a data encryption solution for data at rest and data in transit."
manage-localisation,manage localisation,skill/competence,cross-sector,Modify content or a product for the transference from one locale to another through the use of content translation or localisation service providers.
manage-online-content,manage online content,skill/competence,sector-specific,"Ensure the website content is up to date, organised, attractive and meets the target audience needs, the requirements of the company and international standards by checking the links, setting the publishing time framework and order."
manage-open-publications,manage open publications,skill/competence,cross-sector,"Be familiar with Open Publication strategies, with the use of information technology to support research, and with the development and management of CRIS (current research information systems) and institutional repositories. Provide licensing and copyright advice, use bibliometric indicators, and measure and report research impact."
manage-operational-budgets,manage operational budgets,skill/competence,cross-sector,"Prepare, monitor and adjust operational budgets together with the economical/administrative manager/professionals in the arts institute/unit/project."
manage-performance-light-quality,manage performance light quality,skill/competence,sector-specific,Perform light checks and adjust for optimal light quality before and during performance.
manage-personal-professional-development,manage personal professional development,skill/competence,cross-sector,Take responsibility for lifelong learning and continuous professional development. Engage in learning to support and update professional competence. Identify priority areas for professional development based on reflection about own practice and through contact with peers and stakeholders. Pursue a cycle of self-improvement and develop credible career plans.
manage-portfolio,manage portfolio,skill/competence,cross-sector,Maintain a personal portfolio by selecting your best photos or work and regularly adding new ones in order to show your professional skills and development.
manage-profitability,manage profitability,skill/competence,cross-sector,Regularly review sales and profit performance.
manage-project-changes,manage project changes,skill/competence,cross-sector,"Manage requested or identified changes to the original project planning, assess the need to implement the changes and communicate them to the different project stakeholders. Update the relevant project documentation."
manage-project-information,manage project information,skill/competence,sector-specific,Provide accurate and relevant information to all the parties involved in a project on time.
manage-project-metrics,manage project metrics,skill/competence,cross-sector,"Gather, report, analyse and create key metrics for a project to help measure its success."
manage-quantitative-data,manage quantitative data,skill/competence,cross-sector,"Gather, process and present quantitative data. Use the appropriate programs and methods for validating, organising and interpreting data."
manage-rented-goods-returns,manage rented goods returns,skill/competence,cross-sector,Organise the return of rented goods to the distributor.
manage-research-data,manage research data,skill/competence,cross-sector,Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.
manage-resources-for-educational-purposes,manage resources for educational purposes,skill/competence,sector-specific,"Identify the necessary resources needed for learning purposes, such as materials in class or arranged transportation for a field trip. Apply for the corresponding budget and follow up on the orders."
manage-schedule-of-tasks,manage schedule of tasks,skill/competence,cross-sector,"Maintain an overview of all the incoming tasks in order to prioritise the tasks, plan their execution, and integrate new tasks as they present themselves."
manage-signoff-of-an-installed-system,manage signoff of an installed system,skill/competence,sector-specific,Make sure an installed technical system is adequately transferred and signed off for.
manage-software-localisation,manage software localisation,skill/competence,occupation-specific,"Organise the transference process of a certain software from one locale to another, in order to expand the number of users, by modifying content through the use of user interface translation, while taking into consideration the properties of the future country the software will be introduced into."
manage-software-releases,manage software releases,skill/competence,occupation-specific,Examine and approve suggested software development releases. Manage further release process.
manage-sound-quality,manage sound quality,skill/competence,cross-sector,Perform sound checks. Set up audio equipment for optimal sound output before as well as during performance. Regulate the volume during broadcasts by controlling the audio equipment
manage-staff,manage staff,skill/competence,cross-sector,"Manage employees and subordinates, working in a team or individually, to maximise their performance and contribution. Schedule their work and activities, give instructions, motivate and direct the workers to meet the company objectives. Monitor and measure how an employee undertakes their responsibilities and how well these activities are executed. Identify areas for improvement and make suggestio"
manage-standard-enterprise-resource-planning-system,manage standard enterprise resource planning system,skill/competence,sector-specific,"Collect, manage and interpret data relevant for companies related to shipping, payment, inventory, resources and manufacturing using specific business management software. Such software as Microsoft Dynamics​, SAP ERP, Oracle ERP."
manage-standards-for-data-exchange,manage standards for data exchange,skill/competence,sector-specific,Set and maintain standards for transforming data from source schemas into the necessary data structure of a result schema.
manage-student-relationships,manage student relationships,skill/competence,cross-sector,Manage the relations between students and between student and teacher. Act as a just authority and create an environment of trust and stability.
manage-supplies,manage supplies,skill/competence,cross-sector,"Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronise supply with demand of production and customer."
manage-system-security,manage system security,skill/competence,sector-specific,Analyse the critical assets of a company and identify weaknesses and vulnerabilities that lead to intrusion or attack. Apply security detection techniques. Understand cyber attack techniques and implement effective countermeasures.
manage-system-testing,manage system testing,skill/competence,sector-specific,"Select, perform and track testings on software or hardware to detect system defects both within the integrated system units, the inter-assemblages and the system as a whole. Organise testings such as installation testing, security testing and graphical user interface testing."
manage-technical-resources-stock,manage technical resources stock,skill/competence,sector-specific,Manage and monitor technical resources stock to ensure that production demands and deadlines can be met at all times.
manage-tender-processes,manage tender processes,skill/competence,cross-sector,Organise the process of writing and designing proposals or bids for tenders.
manage-workflow-processes,manage workflow processes,skill/competence,cross-sector,"Develop, document and implement traffic and workflow processes across the company for different functions. Liaise with several departments and services such as account management and the creative director to plan and resource work."
manipulate-puppets,manipulate puppets,skill/competence,sector-specific,"Manipulate puppets by the use of strings, rods, wires, electronics or directly by his or her own hands placed inside the puppet or holding it externally, so as to create the illusion of life."
manual-draughting-techniques,manual draughting techniques,knowledge,cross-sector,"Techniques used for creating detailed drawings of designs by using specialised pencils, rulers, templates and scales."
manufacturing-processes,manufacturing processes,knowledge,cross-sector,"The steps required through which a material is transformed into a product, its development and full-scale manufacturing."
