career_title,skill_id,weight,relation_type,career_source
animation director,augmented-reality,22,optional,esco
animation director,gimp-graphics-editor-software,20,optional,esco
animation director,sketchbook-pro,18,optional,esco
animation director,microsoft-visio,16,optional,esco
animation director,synfig,14,optional,esco
animation layout artist,set-up-animation-elements,90,essential,esco
animation layout artist,operate-3d-computer-graphics-software,88,essential,esco
animation layout artist,3d-lighting,78,essential,esco
animation layout artist,motion-graphics,74,essential,esco
animation layout artist,edit-digital-moving-images,72,essential,esco
animation layout artist,graphic-design,70,essential,esco
animation layout artist,follow-a-brief,68,essential,esco
animation layout artist,develop-animations,65,optional,esco
animation layout artist,create-moving-images,62,optional,esco
animation layout artist,follow-work-schedule,60,essential,esco
animation layout artist,multimedia-systems,58,essential,esco
animation layout artist,apply-3d-imaging-techniques,55,optional,esco
animation layout artist,finish-project-within-budget,52,essential,esco
animation layout artist,design-graphics,50,optional,esco
animation layout artist,ict-software-specifications,50,essential,esco
animation layout artist,create-animated-narratives,48,optional,esco
animation layout artist,animate-3d-organic-forms,46,optional,esco
animation layout artist,convert-into-animated-object,45,optional,esco
animation layout artist,graphics-editor-software,44,optional,esco
animation layout artist,create-3d-characters,42,optional,esco
animation layout artist,adobe-photoshop,40,optional,esco
animation layout artist,provide-multimedia-content,40,optional,esco
animation layout artist,rig-3d-characters,38,optional,esco
animation layout artist,adobe-illustrator,36,optional,esco
animation layout artist,motion-capture,34,optional,esco
animation layout artist,manage-portfolio,24,optional,esco
animation layout artist,augmented-reality,22,optional,esco
animation layout artist,sketchbook-pro,20,optional,esco
animation layout artist,gimp-graphics-editor-software,18,optional,esco
animation layout artist,synfig,14,optional,esco
animation layout artist,microsoft-visio,12,optional,esco
animation layout artist,capture-one,10,optional,esco
animator,develop-animations,95,essential,esco
animator,create-moving-images,88,essential,esco
animator,motion-graphics,80,essential,esco
animator,create-animated-narratives,78,essential,esco
animator,graphic-design,72,essential,esco
animator,design-graphics,70,essential,esco
animator,follow-a-brief,66,essential,esco
animator,provide-multimedia-content,62,essential,esco
animator,multimedia-systems,58,essential,esco
animator,operate-3d-computer-graphics-software,56,optional,esco
animator,follow-work-schedule,55,essential,esco
animator,convert-into-animated-object,52,optional,esco
animator,ict-software-specifications,52,essential,esco
animator,finish-project-within-budget,50,essential,esco
animator,graphics-editor-software,48,optional,esco
animator,create-original-drawings,46,optional,esco
animator,computer-equipment,45,essential,esco
animator,animate-3d-organic-forms,44,optional,esco
animator,create-sketches,44,optional,esco
animator,adobe-photoshop,42,optional,esco
animator,adobe-illustrator,40,optional,esco
animator,identify-customer-s-needs,40,optional,esco
animator,render-3d-images,40,optional,esco
animator,create-2d-painting,38,optional,esco
animator,digital-compositing,38,optional,esco
animator,3d-lighting,36,optional,esco
animator,create-3d-characters,35,optional,esco
animator,apply-3d-imaging-techniques,34,optional,esco
animator,motion-capture,34,optional,esco
animator,rig-3d-characters,33,optional,esco
animator,create-3d-environments,32,optional,esco
animator,manage-feedback,30,optional,esco
animator,copyright-legislation,26,optional,esco
animator,manage-portfolio,25,optional,esco
animator,synfig,24,optional,esco
animator,sketchbook-pro,22,optional,esco
animator,augmented-reality,20,optional,esco
animator,gimp-graphics-editor-software,18,optional,esco
animator,microsoft-visio,10,optional,esco
animator,capture-one,8,optional,esco
API Developer,design-component-interfaces,88,essential,market
API Developer,web-programming,85,essential,market
API Developer,web-application-security-threats,80,essential,market
API Developer,computer-programming,78,essential,market
API Developer,define-software-architecture,76,essential,market
API Developer,define-integration-strategy,74,essential,market
API Developer,use-interface-description-language,72,essential,market
API Developer,use-software-design-patterns,65,optional,market
API Developer,execute-integration-testing,62,optional,market
API Developer,sql,60,optional,market
API Developer,use-databases,58,optional,market
Application Security Engineer,web-application-security-threats,85,essential,market
Application Security Engineer,perform-ict-security-testing,82,essential,market
Application Security Engineer,conduct-ict-code-review,78,essential,market
Application Security Engineer,identify-ict-security-risks,75,essential,market
Application Security Engineer,apply-information-security-policies,72,essential,market
Application Security Engineer,software-architecture-models,64,optional,market
Application Security Engineer,cyber-security,62,optional,market
Application Security Engineer,owasp-zap,60,optional,market
Application Security Engineer,devops,57,optional,market
Application Security Engineer,develop-code-exploits,55,optional,market
Applied AI Engineer,machine-learning,92,essential,market
Applied AI Engineer,python-computer-programming,88,essential,market
Applied AI Engineer,deep-learning,85,essential,market
Applied AI Engineer,statistics,82,essential,market
Applied AI Engineer,build-predictive-models,80,essential,market
Applied AI Engineer,algorithms,78,essential,market
Applied AI Engineer,sql,74,optional,market
Applied AI Engineer,data-analytics,70,optional,market
Applied AI Engineer,cloud-technologies,69,optional,market
Applied AI Engineer,distributed-computing,66,optional,market
Applied AI Engineer,software-architecture-models,64,optional,market
Applied AI Engineer,devops,60,optional,market
AR/VR Developer,augmented-reality,88,essential,market
AR/VR Developer,computer-programming,85,essential,market
AR/VR Developer,human-computer-interaction,82,essential,market
AR/VR Developer,design-interaction-model,78,essential,market
AR/VR Developer,unity-digital-game-creation-systems,75,optional,market
AR/VR Developer,computer-vision,72,optional,market
AR/VR Developer,real-time-computing,68,optional,market
AR/VR Developer,design-user-interface,66,optional,market
AR/VR Developer,c-2,65,optional,market
AR/VR Developer,unreal-engine,60,optional,market
assistive technologist,assistive-technology-in-education,95,essential,esco
assistive technologist,guide-learners-in-using-assistive-technologies,92,essential,esco
assistive technologist,ict-accessibility-standards,85,essential,esco
assistive technologist,disability-types,82,essential,esco
assistive technologist,assess-users-interaction-with-ict-applications,72,essential,esco
assistive technologist,human-computer-interaction,70,essential,esco
assistive technologist,measure-software-usability,65,essential,esco
assistive technologist,address-problems-critically,60,essential,esco
assistive technologist,present-reports,55,essential,esco
assistive technologist,protect-personal-data-and-privacy,50,essential,esco
assistive technologist,ensure-compliance-with-legal-requirements,48,essential,esco
assistive technologist,project-management,45,essential,esco
assistive technologist,application-usability,40,optional,esco
assistive technologist,work-with-virtual-learning-environments,35,optional,esco
assistive technologist,online-moderation-techniques,32,essential,esco
assistive technologist,domotic-systems,30,essential,esco
assistive technologist,develop-organisational-policies,25,optional,esco
assistive technologist,manage-budgets,22,optional,esco
assistive technologist,funding-methods,20,optional,esco
Automation Test Engineer,develop-automated-software-tests,90,essential,market
Automation Test Engineer,tools-for-ict-test-automation,85,essential,market
Automation Test Engineer,execute-software-tests,80,essential,market
Automation Test Engineer,perform-software-unit-testing,76,essential,market
Automation Test Engineer,plan-software-testing,74,essential,market
Automation Test Engineer,execute-integration-testing,68,optional,market
Automation Test Engineer,debug-software,66,optional,market
Automation Test Engineer,quality-assurance-methodologies,64,optional,market
Automation Test Engineer,levels-of-software-testing,62,optional,market
Automation Test Engineer,jenkins-tools-for-software-configuration-management,60,optional,market
Automation Test Engineer,report-test-findings,58,optional,market
Automation Test Engineer,communicate-test-results-to-other-departments,55,optional,market
aviation data communications manager,monitor-communication-channels-performance,90,essential,esco
aviation data communications manager,manage-data,82,essential,esco
aviation data communications manager,perform-risk-analysis,76,essential,esco
aviation data communications manager,apply-technical-communication-skills,72,essential,esco
aviation data communications manager,use-different-communication-channels,70,essential,esco
aviation data communications manager,have-computer-literacy,68,essential,esco
aviation data communications manager,write-work-related-reports,58,essential,esco
aviation data communications manager,present-reports,56,essential,esco
aviation data communications manager,use-databases,52,optional,esco
aviation data communications manager,tolerate-stress,48,essential,esco
aviation data communications manager,perform-multiple-tasks-at-the-same-time,44,optional,esco
AWS Solutions Architect,design-cloud-architecture,92,essential,market
AWS Solutions Architect,cloud-security-and-compliance,85,essential,market
AWS Solutions Architect,cloud-technologies,78,essential,market
AWS Solutions Architect,ict-system-integration,76,essential,market
AWS Solutions Architect,define-technical-requirements,74,essential,market
AWS Solutions Architect,plan-migration-to-cloud,72,optional,market
AWS Solutions Architect,design-cloud-networks,68,optional,market
AWS Solutions Architect,manage-cloud-data-and-storage,63,optional,market
AWS Solutions Architect,deploy-cloud-resource,60,optional,market
AWS Solutions Architect,cloud-monitoring-and-reporting,58,optional,market
Azure Cloud Engineer,cloud-technologies,88,essential,market
Azure Cloud Engineer,design-cloud-architecture,85,essential,market
Azure Cloud Engineer,implement-cloud-security-and-compliance,82,essential,market
Azure Cloud Engineer,deploy-cloud-resource,80,essential,market
Azure Cloud Engineer,design-cloud-networks,78,essential,market
Azure Cloud Engineer,cloud-monitoring-and-reporting,75,essential,market
Azure Cloud Engineer,automate-cloud-tasks,68,optional,market
Azure Cloud Engineer,plan-migration-to-cloud,65,optional,market
Azure Cloud Engineer,maintain-ict-identity-management,62,optional,market
Azure Cloud Engineer,respond-to-incidents-in-cloud,60,optional,market
Back End Developer,computer-programming,90,essential,market
Back End Developer,sql,85,essential,market
Back End Developer,database-management-systems,80,essential,market
Back End Developer,define-software-architecture,78,essential,market
Back End Developer,web-programming,75,essential,market
Back End Developer,debug-software,72,essential,market
Back End Developer,create-data-models,68,optional,market
Back End Developer,design-database-scheme,66,optional,market
Back End Developer,software-frameworks,60,optional,market
Back End Developer,devops,58,optional,market
Back End Developer,cloud-technologies,55,optional,market
big data archive librarian,manage-digital-archives,94,essential,esco
big data archive librarian,manage-content-metadata,90,essential,esco
big data archive librarian,database,88,essential,esco
big data archive librarian,database-management-systems,86,essential,esco
big data archive librarian,manage-database,85,essential,esco
big data archive librarian,analyse-big-data,84,essential,esco
big data archive librarian,manage-data,83,essential,esco
big data archive librarian,manage-ict-data-classification,82,essential,esco
big data archive librarian,data-extraction-transformation-and-loading-tools,80,essential,esco
big data archive librarian,data-models,78,essential,esco
big data archive librarian,maintain-database-performance,74,essential,esco
big data archive librarian,maintain-database-security,72,essential,esco
big data archive librarian,query-languages,72,essential,esco
big data archive librarian,write-database-documentation,70,essential,esco
big data archive librarian,database-development-tools,68,essential,esco
big data archive librarian,maintain-data-entry-requirements,64,essential,esco
big data archive librarian,business-intelligence,62,essential,esco
big data archive librarian,digitise-documents,62,optional,esco
big data archive librarian,comply-with-legal-regulations,60,essential,esco
big data archive librarian,data-quality-assessment,60,optional,esco
big data archive librarian,information-confidentiality,58,optional,esco
big data archive librarian,integrate-ict-data,58,optional,esco
big data archive librarian,resource-description-framework-query-language,58,essential,esco
big data archive librarian,migrate-existing-data,56,optional,esco
big data archive librarian,perform-backups,56,optional,esco
big data archive librarian,information-structure,55,optional,esco
big data archive librarian,design-database-scheme,54,optional,esco
big data archive librarian,apply-information-security-policies,52,optional,esco
big data archive librarian,design-database-backup-specifications,52,optional,esco
big data archive librarian,manage-data-collection-systems,50,optional,esco
big data archive librarian,normalise-data,50,optional,esco
big data archive librarian,mysql,46,optional,esco
big data archive librarian,develop-ict-workflow,44,optional,esco
big data archive librarian,oracle-relational-database,44,optional,esco
big data archive librarian,postgresql,44,optional,esco
big data archive librarian,sparql,44,optional,esco
big data archive librarian,sql-server,44,optional,esco
big data archive librarian,triplestore,42,optional,esco
big data archive librarian,identify-technological-needs,40,optional,esco
big data archive librarian,statistics,40,optional,esco
big data archive librarian,xquery,40,optional,esco
big data archive librarian,db2,38,optional,esco
big data archive librarian,monitor-technology-trends,38,optional,esco
big data archive librarian,mdx,36,optional,esco
big data archive librarian,informatica-powercenter,34,optional,esco
big data archive librarian,marklogic,34,optional,esco
big data archive librarian,sql-server-integration-services,34,optional,esco
big data archive librarian,ldap,32,optional,esco
big data archive librarian,oracle-data-integrator,32,optional,esco
big data archive librarian,creatively-use-digital-technologies,30,optional,esco
big data archive librarian,ibm-infosphere-datastage,30,optional,esco
big data archive librarian,microsoft-access,30,optional,esco
big data archive librarian,oracle-warehouse-builder,30,optional,esco
big data archive librarian,pentaho-data-integration,30,optional,esco
big data archive librarian,teradata-database,30,optional,esco
big data archive librarian,linq,28,optional,esco
big data archive librarian,sas-data-management,28,optional,esco
big data archive librarian,ibm-infosphere-information-server,26,optional,esco
big data archive librarian,sap-data-services,26,optional,esco
big data archive librarian,n1ql,24,optional,esco
big data archive librarian,visual-presentation-techniques,22,optional,esco
big data archive librarian,filemaker-database-management-systems,20,optional,esco
big data archive librarian,ibm-informix,20,optional,esco
big data archive librarian,openedge-database,20,optional,esco
big data archive librarian,objectstore,18,optional,esco
big data archive librarian,qlikview-expressor,18,optional,esco
big data archive librarian,ca-datacom-db,16,optional,esco
big data archive librarian,give-live-presentation,16,optional,esco
Big Data Engineer,distributed-computing,90,essential,market
Big Data Engineer,data-extraction-transformation-and-loading-tools,88,essential,market
Big Data Engineer,develop-data-processing-applications,82,essential,market
Big Data Engineer,sql,78,essential,market
Big Data Engineer,python-computer-programming,77,essential,market
Big Data Engineer,create-data-models,76,essential,market
Big Data Engineer,data-warehouse,70,optional,market
Big Data Engineer,hadoop,69,optional,market
Big Data Engineer,nosql,67,optional,market
Big Data Engineer,manage-ict-data-architecture,66,optional,market
Big Data Engineer,cloud-technologies,64,optional,market
Big Data Engineer,data-quality-assessment,60,optional,market
blockchain architect,principles-of-distributed-ledger-technology,95,essential,esco
blockchain architect,define-software-architecture,90,essential,esco
blockchain architect,blockchain-platforms,88,essential,esco
blockchain architect,smart-contract,84,essential,esco
blockchain architect,blockchain-consensus-mechanisms,82,essential,esco
blockchain architect,design-information-system,76,essential,esco
blockchain architect,blockchain-openness,72,essential,esco
blockchain architect,define-technical-requirements,70,essential,esco
blockchain architect,interpret-technical-requirements,66,essential,esco
blockchain architect,decentralized-application-frameworks,64,optional,esco
blockchain architect,systems-development-life-cycle,60,essential,esco
blockchain architect,analyse-ict-system,58,essential,esco
blockchain architect,ict-encryption,56,optional,esco
blockchain architect,business-processes,50,essential,esco
blockchain architect,design-thinking,46,essential,esco
blockchain architect,create-business-process-models,44,essential,esco
blockchain architect,design-cloud-architecture,42,optional,esco
blockchain architect,debug-software,40,optional,esco
blockchain architect,cloud-technologies,38,optional,esco
blockchain architect,develop-software-prototype,36,optional,esco
blockchain architect,software-components-libraries,34,optional,esco
blockchain architect,saas-service-oriented-modelling,30,optional,esco
blockchain architect,data-analytics,20,optional,esco
blockchain architect,statistics,14,optional,esco
blockchain developer,smart-contract,95,essential,esco
blockchain developer,principles-of-distributed-ledger-technology,92,essential,esco
blockchain developer,computer-programming,88,essential,esco
blockchain developer,blockchain-platforms,84,essential,esco
blockchain developer,solidity,80,optional,esco
blockchain developer,debug-software,78,essential,esco
blockchain developer,decentralized-application-frameworks,76,essential,esco
blockchain developer,blockchain-consensus-mechanisms,74,essential,esco
blockchain developer,use-software-design-patterns,66,essential,esco
blockchain developer,use-software-libraries,64,essential,esco
blockchain developer,blockchain-openness,62,essential,esco
blockchain developer,ict-debugging-tools,60,essential,esco
blockchain developer,ict-encryption,58,optional,esco
blockchain developer,interpret-technical-requirements,56,essential,esco
blockchain developer,software-components-libraries,54,essential,esco
blockchain developer,javascript,48,optional,esco
blockchain developer,vyper,44,optional,esco
blockchain developer,typescript,42,optional,esco
blockchain developer,provide-technical-documentation,40,essential,esco
blockchain developer,utilise-computer-aided-software-engineering-tools,34,essential,esco
blockchain developer,c,32,optional,esco
blockchain developer,java-computer-programming,30,optional,esco
blockchain developer,adapt-to-changes-in-technological-development-plans,28,optional,esco
blockchain developer,cloud-technologies,26,optional,esco
blockchain developer,implement-front-end-website-design,24,optional,esco
blockchain developer,angular,22,optional,esco
blockchain developer,design-user-interface,20,optional,esco
blockchain developer,data-analytics,18,optional,esco
blockchain developer,saas-service-oriented-modelling,16,optional,esco
blockchain developer,scala,14,optional,esco
blockchain developer,use-markup-languages,12,optional,esco
broadcast technician,media-formats,90,essential,esco
broadcast technician,multimedia-systems,88,essential,esco
broadcast technician,meet-deadlines,80,essential,esco
broadcast technician,use-audio-reproduction-software,78,essential,esco
broadcast technician,audio-technology,70,optional,esco
broadcast technician,broadcast-using-internet-protocol,68,optional,esco
broadcast technician,ict-communications-protocols,62,optional,esco
broadcast technician,edit-recorded-sound,60,optional,esco
broadcast technician,maintain-internet-protocol-configuration,58,optional,esco
broadcast technician,execute-integration-testing,57,optional,esco
broadcast technician,provide-multimedia-content,55,optional,esco
broadcast technician,administer-ict-system,50,optional,esco
Build and Release Engineer,manage-software-releases,88,essential,market
Build and Release Engineer,devops,84,essential,market
Build and Release Engineer,tools-for-software-configuration-management,80,essential,market
Build and Release Engineer,solution-deployment,78,essential,market
Build and Release Engineer,use-scripting-programming,74,essential,market
Build and Release Engineer,project-configuration-management,72,essential,market
Build and Release Engineer,jenkins-tools-for-software-configuration-management,70,optional,market
Build and Release Engineer,apache-maven,66,optional,market
Build and Release Engineer,automate-cloud-tasks,64,optional,market
Build and Release Engineer,manage-ict-virtualisation-environments,60,optional,market
Business Intelligence Developer,sql,92,essential,market
Business Intelligence Developer,data-warehouse,86,essential,market
Business Intelligence Developer,data-extraction-transformation-and-loading-tools,84,essential,market
Business Intelligence Developer,business-intelligence,80,essential,market
Business Intelligence Developer,create-data-models,78,essential,market
Business Intelligence Developer,online-analytical-processing,74,optional,market
Business Intelligence Developer,sql-server-integration-services,72,optional,market
Business Intelligence Developer,mdx,66,optional,market
Business Intelligence Developer,database-management-systems,64,optional,market
Business Intelligence Developer,deliver-visual-presentation-of-data,62,optional,market
C# Developer,c-2,95,essential,market
C# Developer,use-object-oriented-programming,88,essential,market
C# Developer,visual-studio-net,78,essential,market
C# Developer,linq,76,essential,market
C# Developer,debug-software,72,essential,market
C# Developer,asp-net,68,optional,market
C# Developer,use-software-design-patterns,66,optional,market
C# Developer,sql-server,64,optional,market
C# Developer,sql,62,optional,market
C# Developer,agile-development,55,optional,market
camera operator,create-moving-images,88,essential,esco
camera operator,photography,84,essential,esco
camera operator,determine-visual-concepts,78,essential,esco
camera operator,use-technical-documentation,62,essential,esco
camera operator,follow-work-schedule,58,essential,esco
camera operator,file-based-workflow,56,optional,esco
camera operator,keep-up-with-trends,54,essential,esco
camera operator,use-storyboards,50,optional,esco
chief data officer,manage-data,92,essential,esco
chief data officer,manage-ict-data-architecture,90,essential,esco
chief data officer,define-data-quality-criteria,88,essential,esco
chief data officer,information-structure,85,essential,esco
chief data officer,manage-ict-data-classification,82,essential,esco
chief data officer,data-mining,80,essential,esco
chief data officer,data-storage,78,essential,esco
chief data officer,apply-information-security-policies,72,essential,esco
chief data officer,business-intelligence,70,optional,esco
chief data officer,decision-support-systems,68,essential,esco
chief data officer,information-architecture,68,optional,esco
chief data officer,business-processes,66,essential,esco
chief data officer,data-quality-assessment,65,optional,esco
chief data officer,utilise-decision-support-system,64,essential,esco
chief data officer,manage-business-knowledge,63,optional,esco
chief data officer,information-security-strategy,62,optional,esco
chief data officer,develop-information-security-strategy,60,optional,esco
chief data officer,visual-presentation-techniques,60,essential,esco
chief data officer,cloud-technologies,58,optional,esco
chief data officer,integrate-ict-data,57,optional,esco
chief data officer,information-confidentiality,56,optional,esco
chief data officer,database,55,optional,esco
chief data officer,data-models,54,optional,esco
