skill_id,skill_name,skill_category,skill_type,reuse_level,esco_skill_id,source,description
adapt-to-changing-situations,adapt to changing situations,soft,skill/competence,cross-sector,key_5960,esco,"Change approach to situations based on unexpected and sudden changes in people's needs and mood or in trends; shift strategies, improvise and naturally adapt to those circumstances."
address-identified-risks,address identified risks,domain,skill/competence,sector-specific,key_8657,esco,"Implement a risk treatment plan to address the risks identified during the assessment phase, avoid their occurrence and/or minimise their impact. Evaluate the different options available to reduce the exposure to the identified risks, based on the risk appetite of an organisation, the accepted level of tolerance and the cost of treatment."
address-problems-critically,address problems critically,soft,skill/competence,cross-sector,key_11340,esco,"Identify the strengths and weaknesses of various abstract, rational concepts, such as issues, opinions, and approaches related to a specific problematic situation in order to formulate solutions and alternative methods of tackling the situation."
adhere-to-organisational-guidelines,adhere to organisational guidelines,soft,skill/competence,cross-sector,key_10534,esco,Adhere to organisational or department specific standards and guidelines. Understand the motives of the organisation and the common agreements and act accordingly.
adjust-engineering-designs,adjust engineering designs,technical,skill/competence,cross-sector,key_4896,esco,Adjust designs of products or parts of products so that they meet requirements.
adjust-ict-system-capacity,adjust ICT system capacity,technical,skill/competence,sector-specific,key_10909,esco,"Change the scope of an ICT system by adding or reallocating additional ICT system components, such as network components, servers or storage to meet capacity or volume demands."
administer-ict-system,administer ICT system,technical,skill/competence,sector-specific,key_1681,esco,"Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements."
adobe-illustrator,Adobe Illustrator,technical,knowledge,sector-specific,key_3426,esco,The computer program Adobe Illustrator CC is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.
adobe-photoshop,Adobe Photoshop,technical,knowledge,sector-specific,key_2371,esco,The computer program Adobe Photoshop is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.
adobe-photoshop-lightroom,Adobe Photoshop Lightroom,technical,knowledge,sector-specific,key_12787,esco,The computer program Adobe Photoshop Lightroom is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.
advertising-techniques,advertising techniques,domain,knowledge,cross-sector,key_10621,esco,"The communication strategies intended to persuade or encourage an audience, and the different media which are used to achieve this goal."
advise-client-on-technical-possibilities,advise client on technical possibilities,soft,skill/competence,cross-sector,key_8022,esco,"Recommend technical solutions, including systems, to the client within the framework of a project."
advise-on-government-policy-compliance,advise on government policy compliance,domain,skill/competence,cross-sector,key_11854,esco,"Advise organisations on how they may improve their compliance to the applicable government policies they are required to adhere to, and the necessary steps which need to be taken in order to ensure complete compliance."
advise-on-strengthening-security,advise on strengthening security,technical,skill/competence,sector-specific,key_4292,esco,Provide information and guidance to clients on how to prevent security threats and incidents.
aesthetics,aesthetics,domain,knowledge,cross-sector,key_7302,esco,Set of principles based on which something is appealing and beautiful.
agile-development,Agile development,technical,knowledge,sector-specific,key_13167,esco,The agile development model is a methodology to design software systems and applications.
agile-project-management,Agile project management,technical,knowledge,sector-specific,key_1811,esco,"The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools."
aircrack-penetration-testing-tool,Aircrack (penetration testing tool),technical,knowledge,sector-specific,key_5954,esco,"The computer program Aircrack is a cracking program which recovers 802.11 WEP and WPA-PSK keys by making several network attacks such as FMS, KoreK and PTW attacks."
ajax,AJAX,technical,knowledge,sector-specific,key_11098,esco,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in AJAX."
ajax-framework,Ajax Framework,technical,knowledge,sector-specific,key_8974,esco,The Ajax software development environments which provide specific features and components that support and guide web applications development.
algorithms,algorithms,technical,knowledge,cross-sector,key_5898,esco,"The self-contained step-by-step sets of operations that carry out calculations, data processing and automated reasoning, usually to solve problems."
align-content-with-form,align content with form,technical,skill/competence,cross-sector,key_5183,esco,Align form and content to make sure they fit together.
align-efforts-towards-business-development,align efforts towards business development,domain,skill/competence,cross-sector,key_14161,esco,"Synchronise the efforts, plans, strategies, and actions carried out in departments of companies towards the growth of business and its turnover. Keep business development as the ultimate outcome of any effort of the company."
align-software-with-system-architectures,align software with system architectures,technical,skill/competence,sector-specific,key_3468,esco,Put system design and technical specifications in line with software architecture in order to ensure the integration and interoperability between components of the system.
analog-electronics-theory,analog electronics theory,technical,knowledge,sector-specific,key_14134,esco,The theory based on analogue circuits in which volumes (voltage or current) continuously vary over time.
analyse-big-data,analyse big data,technical,skill/competence,cross-sector,key_5160,esco,"Collect and evaluate numerical data in large quantities, especially for the purpose of identifying patterns between the data."
analyse-business-processes,analyse business processes,domain,skill/competence,cross-sector,key_5982,esco,Study the contribution of the work processes to the business goals and monitor their efficiency and productivity.
analyse-business-requirements,analyse business requirements,domain,skill/competence,cross-sector,key_10859,esco,Study clients' needs and expectations for a product or service in order to identify and resolve inconsistencies and possible disagreements of involved stakeholders.
analyse-consumer-buying-trends,analyse consumer buying trends,domain,skill/competence,cross-sector,key_7692,esco,Analyse buying habits or currently prevalent customer behaviour.
analyse-customer-service-surveys,analyse customer service surveys,domain,skill/competence,cross-sector,key_11997,esco,Analyse results from surveys completed by passengers/customer. Analyse results to identify trends and draw conclusions.
analyse-external-factors-of-companies,analyse external factors of companies,domain,skill/competence,cross-sector,key_12456,esco,"Perform research and analysis of the external factor pertaining to companies such as consumers, position in the market, competitors, and political situation."
analyse-ict-system,analyse ICT system,technical,skill/competence,sector-specific,key_7996,esco,"Analyse the functioning and performance of information systems in order to define their goals, architecture and services and set procedures and operations to meet end users requirements."
analyse-ict-technical-proposals,analyse ICT technical proposals,technical,skill/competence,occupation-specific,key_11760,esco,"Compare and assess technical requirements of an ICT product, service or solution in terms of quality, costs and compliance to specifications"
analyse-information-systems,analyse information systems,technical,skill/competence,occupation-specific,key_14096,esco,"Conduct analyses of information systems such as archives, libraries and documentation centers to verify their effectiveness. Develop specific problem solving techniques in order to improve the performance of the systems."
analyse-internal-factors-of-companies,analyse internal factors of companies,domain,skill/competence,cross-sector,key_9247,esco,"Research and understand various internal factors that influence the operation of companies such as its culture, strategic foundation, products, prices, and available resources."
analyse-network-bandwidth-requirements,analyse network bandwidth requirements,technical,skill/competence,sector-specific,key_13078,esco,Study the requirements on the transmission capacity of an ICT network or other telecommunication system.
analyse-network-configuration-and-performance,analyse network configuration and performance,technical,skill/competence,sector-specific,key_5885,esco,"Analyse essential network data (e.g., router configuration files, routing protocols), network traffic capacity and performance characteristics of ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data."
analyse-software-specifications,analyse software specifications,technical,skill/competence,sector-specific,key_14399,esco,"Assess the specifications of a software product or system to be developed by identifying functional and non-functional requirements, constraints and possible sets of use cases which illustrate interactions between the software and its users."
analyse-staff-capacity,analyse staff capacity,domain,skill/competence,cross-sector,key_12834,esco,"Evaluate and identify staffing gaps in quantity, skills, performance revenue and surpluses."
analyse-supply-chain-strategies,analyse supply chain strategies,domain,skill/competence,cross-sector,key_9533,esco,"Examine an organisation's planning details of production, their expected output units, quality, quantity, cost, time available and labour requirements. Provide suggestions in order to improve products, service quality and reduce costs."
analyse-supply-chain-trends,analyse supply chain trends,domain,skill/competence,sector-specific,key_11243,esco,"Analyse and make predictions about trends and evolutions in supply chain operations in relation to technology, efficiency systems, types of products shipped, and logistical requirements for shipments, in order to remain at the forefront of supply chain methodologies."
analyse-test-data,analyse test data,technical,skill/competence,cross-sector,key_8371,esco,"Interpret and analyse data collected during testing in order to formulate conclusions, new insights or solutions."
analyse-texts-to-be-illustrated,analyse texts to be illustrated,technical,skill/competence,sector-specific,key_11616,esco,Analyse texts to be illustrated by researching and checking sources.
analyse-the-context-of-an-organisation,analyse the context of an organisation,domain,skill/competence,cross-sector,key_9548,esco,Study the external and internal environment of an organisation by identifying its strengths and weaknesses in order to provide a base for company strategies and further planning.
analyse-the-need-for-technical-resources,analyse the need for technical resources,technical,skill/competence,sector-specific,key_8975,esco,Define and make a list of the required resources and equipment based on the technical needs of the production.
analyse-work-related-written-reports,analyse work-related written reports,soft,skill/competence,cross-sector,key_15125,esco,"Read and comprehend job-related reports, analyse the content of reports and apply findings to daily work operations."
android-mobile-operating-systems,Android (mobile operating systems),technical,knowledge,sector-specific,key_13001,esco,"The system software Android consists of features, restrictions, architectures and other characteristics of operating systems designed to run on mobile devices."
angular,Angular,technical,knowledge,sector-specific,key_2981,esco,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Angular."
animate-3d-organic-forms,animate 3D organic forms,technical,skill/competence,sector-specific,key_8221,esco,"Vitalise digital 3D models of organic items, such as emotions or face movements of characters and place them in a digital 3D environment."
ansible,Ansible,technical,knowledge,sector-specific,key_7392,esco,"The tool Ansible is a software program to perform configuration identification, control, status accounting and audit."
apache-maven,Apache Maven,technical,knowledge,sector-specific,key_1959,esco,"The tool Apache Maven is a software program to perform configuration identification, control, status accounting and audit of software during its development and maintenance."
apache-tomcat,Apache Tomcat,technical,knowledge,sector-specific,key_2106,esco,"The open-source web server Apache Tomcat provides a Java web server environment which uses a built in container where HTTP requests are loaded, allowing the Java web applications to run on local and server based systems."
apl,APL,technical,knowledge,sector-specific,key_6127,esco,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in APL."
application-usability,application usability,technical,knowledge,sector-specific,key_11934,esco,"The process through which the learnability, efficiency, usefulness and ease of use of a software application can be defined and measured."
apply-3d-imaging-techniques,apply 3D imaging techniques,technical,skill/competence,sector-specific,key_2561,esco,"Implement a variety of techniques such as digital sculpting, curve modelling and 3D scanning to create, edit, preserve and use 3D images, such as point clouds, 3D vector graphic and 3D surface shapes."
apply-business-acumen,apply business acumen,soft,skill/competence,cross-sector,key_5506,esco,Take appropriate actions in a business environment in order to maximise possible outcome from each situation.
apply-change-management,apply change management,domain,skill/competence,cross-sector,key_4535,esco,Manage development within an organisation by anticipating changes and making managerial decisions to ensure that the members involved are as less disturbed as possible.
apply-company-policies,apply company policies,soft,skill/competence,cross-sector,key_1797,esco,Apply the principles and rules that govern the activities and processes of an organisation.
apply-conflict-management,apply conflict management,soft,skill/competence,cross-sector,key_2055,esco,"Take ownership of the handling of all complaints and disputes showing empathy and understanding to achieve resolution. Be fully aware of all Social Responsibility protocols and procedures, and be able to deal with a problematic gambling situation in a professional manner with maturity and empathy."
apply-customer-engagement-strategy,apply customer engagement strategy,domain,skill/competence,cross-sector,key_14459,esco,Engage customers with a company or a brand by employing several methods such as humanisation of the brand and social media usage. The initiative for engagement can come either from the consumer or the company and the medium of engagement can be online as well as offline.
apply-desktop-publishing-techniques,apply desktop publishing techniques,technical,skill/competence,cross-sector,key_5336,esco,Apply desktop publishing techniques to create page layouts and typographic quality text.
apply-gaming-psychology,apply gaming psychology,domain,skill/competence,sector-specific,key_7369,esco,Employ human psychology principles for gaming development strategies in order to create appealing games.
apply-grammar-and-spelling-rules,apply grammar and spelling rules,soft,skill/competence,cross-sector,key_9527,esco,Apply the rules of spelling and grammar and ensure consistency throughout texts.
apply-ict-system-usage-policies,apply ICT system usage policies,domain,skill/competence,sector-specific,key_9543,esco,Follow written and ethical laws and policies regarding proper ICT system usage and administration.
apply-ict-systems-theory,apply ICT systems theory,technical,skill/competence,sector-specific,key_12328,esco,Implement principles of ICT systems theory in order to explain and document system characteristics that can be applied universally to other systems
apply-information-security-policies,apply information security policies,technical,skill/competence,sector-specific,key_8635,esco,"Implement policies, methods and regulations for data and information security in order to respect confidentiality, integrity and availability principles."
apply-operations-for-an-itil-based-environment,apply operations for an ITIL-based environment,technical,skill/competence,occupation-specific,key_12591,esco,Properly operate ITIL (Information Technology Infrastructure Library) based service desk procedures.
apply-organisational-techniques,apply organisational techniques,soft,skill/competence,cross-sector,key_12750,esco,"Employ a set of organisational techniques and procedures which facilitate the achievement of the set goals set such as detailed planning of personnel's schedules. Use these resources efficiently and sustainably, and show flexibility when required."
apply-publicity-code,apply publicity code,domain,skill/competence,occupation-specific,key_7734,esco,"Apply legislation and rules to present products to a public in texts, pictures and other symbols."
apply-reverse-engineering,apply reverse engineering,technical,skill/competence,sector-specific,key_10408,esco,"Use techniques to extract information or disassemble an ICT component, software or system in order to analyse, correct and reassemble or reproduce it."
apply-risk-management-processes,apply risk management processes,domain,skill/competence,cross-sector,key_9502,esco,"Identify risks and apply a risk management process, e.g. hazard analysis and critical control points (HACCP)."
apply-social-media-marketing,apply social media marketing,domain,skill/competence,cross-sector,key_6805,esco,"Employ website traffic of social media such as Facebook and Twitter to generate attention and participation of existing and potential customers through discussion forums, web logs, microblogging and social communities for gaining a quick overview or insight into topics and opinions in the social web and handle inbound leads or inquiries."
apply-statistical-analysis-techniques,apply statistical analysis techniques,technical,skill/competence,cross-sector,key_4348,esco,"Use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ICT tools to analyse data, uncover correlations and forecast trends."
apply-strategic-thinking,apply strategic thinking,soft,skill/competence,cross-sector,key_7226,esco,"Apply generation and effective application of business insights and possible opportunities, in order to achieve competitive business advantage on a long-term basis."
apply-system-organisational-policies,apply system organisational policies,domain,skill/competence,cross-sector,key_1647,esco,"Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation."
apply-systemic-design-thinking,apply systemic design thinking,technical,skill/competence,cross-sector,key_5462,esco,"Apply the process of combining systems thinking methodologies with human-centred design in order to solve complex societal challenges in an innovative and sustainable way. This is most often applied in social innovation practices that focus less on designing stand-alone products and services to designing complex service systems, organizations or policies that bring value to the society as a whole."
apply-technical-communication-skills,apply technical communication skills,soft,skill/competence,cross-sector,key_11832,esco,"Explain technical details to non-technical customers, stakeholders, or any other interested parties in a clear and concise manner."
apply-tools-for-content-development,apply tools for content development,technical,skill/competence,cross-sector,key_4325,esco,"Use specialised content development tools such as content and terminology management systems, translation memory systems, language checker and editors to generate, compile and transform content according to specified standards."
approve-engineering-design,approve engineering design,technical,skill/competence,cross-sector,key_14554,esco,Give consent to the finished engineering design to go over to the actual manufacturing and assembly of the product.
archive-documentation-related-to-work,archive documentation related to work,domain,skill/competence,sector-specific,key_6772,esco,Select relevant documentation related to the ongoing or complete work and take steps to archive it in a way that ensures its future accessibility.
art-history,art history,domain,knowledge,sector-specific,key_7219,esco,"The history of art and artists, the artistic trends throughout centuries and their contemporary evolutions."
artificial-neural-networks,artificial neural networks,technical,knowledge,cross-sector,key_5984,esco,A network of artificial neurons composed for solving artificial intelligence problems. These computing systems are inspired by the biological neural networks that constitute brains. Understanding of its general model and its elements. Knowledge of its use possibilities for automation.
asp-net,ASP.NET,technical,knowledge,sector-specific,key_6012,esco,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ASP.NET."
assemble-hardware-components,assemble hardware components,technical,skill/competence,cross-sector,key_4645,esco,"Assemble the necessary hardware components, such as the motherboard, Central Processing Unit (CPU), hard drive, disk drive, power supply unit, RAM, PCI card, mouse, keyboard, cameras and other necessary components to build the computer device. Attach the components manually using screwdrivers or use assembly machines and install the wiring."
assemble-robots,assemble robots,technical,skill/competence,sector-specific,key_8280,esco,"Assemble robotic machines, devices, and components according to engineering drawings. Program and install the necessary components of robotic systems, such as robot controllers, conveyors, and end-of-arm tools."
assembly-computer-programming,Assembly (computer programming),technical,knowledge,sector-specific,key_5164,esco,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Assembly."
assess-employees-capability-levels,assess employees' capability levels,domain,skill/competence,cross-sector,key_4883,esco,Evaluate the capabilities of employees by creating criteria and systematic testing methods for measuring expertise of individuals within an organisation.
assess-financial-viability,assess financial viability,domain,skill/competence,cross-sector,key_13871,esco,"Revise and analyse financial information and requirements of projects such as their budget appraisal, expected turnover, and risk assessment for determining the benefits and costs of the project. Assess if the agreement or project will redeem its investment, and whether the potential profit is worth the financial risk."
assess-ict-knowledge,assess ICT knowledge,technical,skill/competence,sector-specific,key_1997,esco,Evaluate the implicit mastery of skilled experts in an ICT system to make it explicit for further analysis and usage.
assess-informational-needs,assess informational needs,technical,skill/competence,sector-specific,key_5381,esco,Communicate with clients or users in order to identify which information they require and the methods with which they can access it.
assess-supplier-risks,assess supplier risks,domain,skill/competence,sector-specific,key_9541,esco,"Evaluate supplier performance in order to assess if suppliers follow the agreed contracts, meet the standard requirements and provide the desired quality."
assess-users-interaction-with-ict-applications,assess users' interaction with ICT applications,technical,skill/competence,sector-specific,key_5089,esco,"Evaluate how users interact with ICT applications in order to analyse their behaviour, draw conclusions (for instance about their motives, expectations and goals) and improve applications' functionalities."
assistive-technology-in-education,assistive technology in education,technical,knowledge,occupation-specific,key_2030,esco,"Digital devices and equipment that support learners with learning, communication or mobility challenges to access educational resources and achieve their full potential. It includes software such as text to speech and optical character recognition."
attack-vectors,attack vectors,technical,knowledge,sector-specific,key_5635,esco,"Method or pathway deployed by hackers to penetrate or target systems with the end to extract information, data, or money from private or public entities."
attend-to-ict-systems-quality,attend to ICT systems quality,technical,skill/competence,sector-specific,key_8232,esco,"Ensure correct operations which comply fully with specific needs and outcomes in terms of the development, integration, security and overall management of ICT systems."
audio-editing-software,audio editing software,technical,knowledge,cross-sector,key_12271,esco,"The various software for editing and generating audio, such as Adobe Audition, Soundforge, and Power Sound Editor."
audio-mastering,audio mastering,technical,knowledge,sector-specific,key_13802,esco,The post-production process where the finished recorded audio is transferred to a data storage device from which it will be copied.
audio-post-production,audio post-production,technical,knowledge,sector-specific,key_3282,esco,The mixing process after the music recording phase where each song is edited individually into a finished product.
audio-technology,audio technology,technical,knowledge,cross-sector,key_10275,esco,"The various technologies for producing, recording, and reproducing sound."
audit-techniques,audit techniques,domain,knowledge,cross-sector,key_7094,esco,"The techniques and methods that support a systematic and independent examination of data, policies, operations and performances using computer-assisted audit tools and techniques (CAATs) such as spreadsheets, databases, statistical analysis and business intelligence software."
augmented-reality,augmented reality,technical,knowledge,cross-sector,key_10637,esco,"The process of adding diverse digital content (such as images, 3D objects, etc) on surfaces that exist in the real world. The user can interact in real-time with the technology by using devices such as mobile phones."
authoring-software,authoring software,technical,knowledge,cross-sector,key_12771,esco,"The software that provides pre-programmed elements which allow the development of interactive multimedia applications in order to edit, structure and lay out content intended for publication."
automate-cloud-tasks,automate cloud tasks,technical,skill/competence,sector-specific,key_12465,esco,Automate manual or repeatable processes to minimize management overhead. Evaluate cloud automation alternatives for network deployments and tool-based alternatives for network operations and management.
automation-technology,automation technology,technical,knowledge,cross-sector,key_14525,esco,"Set of technologies that make a process, system, or apparatus operate automatically through the use of control systems."
backbox-penetration-testing-tool,Backbox (penetration testing tool),technical,knowledge,sector-specific,key_6102,esco,"The software BackBox is a Linux distribution which tests security weaknesses of the system for potentially unauthorised access to system information by information gathering, forensic, wireless and VoIP analysis, exploitation and reverse engineering."
balance-database-resources,balance database resources,technical,skill/competence,sector-specific,key_9795,esco,"Stabilise the workload and resources of a database, by controlling the demand of transactions, allocating disk spaces and ensuring reliability of the servers in order to optimise cost and risk ratio."
behavioural-science,behavioural science,domain,knowledge,cross-sector,key_3361,esco,The investigation and analysis of subject behaviour through regulated and lifelike observations and disciplined scientific experiments.
blackarch,BlackArch,technical,knowledge,sector-specific,key_8844,esco,The BlackArch Linux distribution is a penetration testing tool which tests security weaknesses of the system for potentially unauthorised access to system information.
blackberry,BlackBerry,technical,knowledge,sector-specific,key_11346,esco,"The system software BlackBerry consists of features, restrictions, architectures and other characteristics of operating systems designed to run on mobile devices."
blockchain-consensus-mechanisms,blockchain consensus mechanisms,technical,knowledge,sector-specific,key_14695,esco,The different mechanisms and their characteristics that ensure a transaction is propagated correctly in the distributed ledger.
blockchain-openness,blockchain openness,technical,knowledge,sector-specific,key_4547,esco,"The different levels of openness of a blockchain, their differences, and their advantages and disadvantages. Examples are permissionless, permissioned, and hybrid blockchains"
blockchain-platforms,blockchain platforms,technical,knowledge,sector-specific,key_9161,esco,"The different integrated infrastructures, each with their own characteristics, that allow the development of blockchain applications. Examples are multichain, ehtereum, hyperledger, corda, ripple, openchain, etc."
brainstorm-ideas,brainstorm ideas,soft,skill/competence,cross-sector,key_6611,esco,"Pitch your ideas and concepts to fellow members of the creative team in order to come up with alternatives, solutions and better versions."
brand-marketing-techniques,brand marketing techniques,domain,knowledge,cross-sector,key_9283,esco,The methods and systems used in researching and establishing a brand identity for marketing purposes.
brightspace-learning-management-systems,Brightspace (learning management systems),technical,knowledge,sector-specific,key_6545,esco,"The computer program Brightspace is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the software company D2L Corporation."
broadcast-using-internet-protocol,broadcast using Internet Protocol,technical,skill/competence,occupation-specific,key_7449,esco,Manage broadcasting over the internet by properly using the Internet Protocol in order to ensure the broadcast is accessible to users.
build-business-relationships,build business relationships,soft,skill/competence,cross-sector,key_13210,esco,"Establish a positive, long-term relationship between organisations and interested third parties such as suppliers, distributors, shareholders and other stakeholders in order to inform them of the organisation and its objectives."
build-predictive-models,build predictive models,technical,skill/competence,sector-specific,key_4381,esco,Create models to predict the probability of an outcome.
build-recommender-systems,build recommender systems,technical,skill/competence,occupation-specific,key_5652,esco,Construct recommendation systems based on large data sets using programming languages or computer tools to create a subclass of information filtering system that seeks to predict the rating or preference a user gives to an item.
business-analysis,business analysis,domain,knowledge,cross-sector,key_6716,esco,"The research field which addresses the identification of business needs and problems and the determination of the solutions that would mitigate or prevent the smooth functioning of a business. Business analysis comprises IT solutions, market challenges, policy development and strategic matters."
business-ict-systems,business ICT systems,technical,knowledge,sector-specific,key_12389,esco,"The software packages, hardware devices and new technologies used in supporting business processes such as enterprise resource planning (ERP), customer relationship management (CRM), mobile devices and network solutions."
business-intelligence,business intelligence,technical,knowledge,cross-sector,key_2335,esco,The tools used to transform large amounts of raw data into relevant and helpful business information.
business-process-modelling,business process modelling,technical,knowledge,sector-specific,key_9611,esco,"The tools, methods and notations such as Business Process Model and Notation (BPMN) and Business Process Execution Language (BPEL), used to describe and analyse the characteristics of a business process and model its further development."
business-processes,business processes,domain,knowledge,cross-sector,key_9930,esco,"Processes which an organisation applies to improve efficiency, set new objectives and reach goals in a profitable and timely manner."
business-requirements-techniques,business requirements techniques,domain,knowledge,sector-specific,key_2056,esco,The procedures required to identify and analyse business and organisational needs.
business-strategy-concepts,business strategy concepts,domain,knowledge,cross-sector,key_11512,esco,"The terminology related to the design and implementation of major trends and aims which are taken by an organisation's executives, while keeping in mind its resources, competition and environments."
c-2,C#,technical,knowledge,sector-specific,key_5384,esco,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in C#."
c,C++,technical,knowledge,sector-specific,key_11154,esco,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in C++."
ca-datacom-db,CA Datacom/DB,technical,knowledge,sector-specific,key_12000,esco,"The computer program CA Datacom/DB is a tool for creating, updating and managing databases, currently developed by the software company CA Technologies."
cad-software,CAD software,technical,knowledge,cross-sector,key_10153,esco,"The computer-aided design (CAD) software for creating, modifying, analysing or optimising a design."
cadd-software,CADD software,technical,knowledge,cross-sector,key_4446,esco,The computer-aided design and drafting (CADD) is the use of computer technology for design and design documentation. CAD software replaces manual drafting with an automated process.
cae-software,CAE software,technical,knowledge,cross-sector,key_8405,esco,The software to perform computer-aided engineering (CAE) analysis tasks such as Finite Element Analysis and Computional Fluid Dynamics.
cain-and-abel-penetration-testing-tool,Cain and Abel (penetration testing tool),technical,knowledge,sector-specific,key_1769,esco,"The software tool Cain and Abel is a password recovery tool which tests the Microsoft Operating System for security weaknesses and potentially unauthorised access to system information. The tool decodes, decrypts and uncovers passwords by means such as brute-force and cryptanalysis attacks, network sniffing and protocols analysis."
calculate-design-costs,calculate design costs,domain,skill/competence,sector-specific,key_7581,esco,Calculate design costs to make sure the project is financially viable.
cam-software,CAM software,technical,knowledge,sector-specific,key_3382,esco,"Different tools for computer-aided manufacturing (CAM) to control machinery and machine tools in the creation, modification, analysis, or optimisation as part of the manufacturing processes of workpieces."
canvas-learning-management-systems,Canvas (learning management systems),technical,knowledge,sector-specific,key_12523,esco,"The Canvas network is an e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
capture-one,Capture One,technical,knowledge,sector-specific,key_15139,esco,The computer program Capture One is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics.
carry-out-forum-moderation,carry out forum moderation,domain,skill/competence,cross-sector,key_14635,esco,"Supervise communication activity on a web forum and other discussion platforms by assessing if the content adheres to forum regulations, enforcing rules of conduct, and ensuring the forum remains free of illegal material and conflict."
carry-out-project-activities,carry out project activities,domain,skill/competence,cross-sector,key_2965,esco,Carry out project activities based on the project work plan and schedule. Assist in the development and execution of project plans.
carry-out-statistical-forecasts,carry out statistical forecasts,technical,skill/competence,cross-sector,key_11567,esco,"Undertake a systematic statistical examination of data representing past observed behaviour of the system to be forecast, including observations of useful predictors outside the system."
carry-out-strategic-research,carry out strategic research,domain,skill/competence,cross-sector,key_1812,esco,Research long term possibilities for improvements and plan steps to achieve them.
carry-out-tendering,carry out tendering,domain,skill/competence,cross-sector,key_3712,esco,"Place the request for a quotation to the organisation requesting a tender, then perform the work or supply the goods agreed with them during the tendering process."
