Source	O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
Transferable Skills	15-1252.00	2.B.3.l	Repairing	IM	1.12	8	0.1250	1.0000	1.3700	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.m	Quality Control Analysis	IM	2.75	8	0.4910	1.7877	3.7123	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.4.e	Judgment and Decision Making	IM	3.62	8	0.1830	3.2664	3.9836	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.4.g	Systems Analysis	IM	3.50	8	0.3273	2.8584	4.1416	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.4.h	Systems Evaluation	IM	3.38	8	0.3750	2.6400	4.1100	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.5.a	Time Management	IM	3.12	8	0.1250	2.8800	3.3700	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.5.b	Management of Financial Resources	IM	1.75	8	0.2500	1.2600	2.2400	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.5.c	Management of Material Resources	IM	1.62	8	0.1830	1.2664	1.9836	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.5.d	Management of Personnel Resources	IM	2.25	8	0.1637	1.9292	2.5708	N	n/a	08/2025	Analyst
Transferable Skills	15-1254.00	2.B.1.a	Social Perceptiveness	IM	2.88	8	0.1250	2.6300	3.1200	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.1.b	Coordination	IM	3.00	8	0.0000	3.0000	3.0000	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.1.c	Persuasion	IM	2.88	8	0.1250	2.6300	3.1200	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.1.d	Negotiation	IM	2.75	8	0.1637	2.4292	3.0708	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.1.e	Instructing	IM	2.75	8	0.1637	2.4292	3.0708	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.1.f	Service Orientation	IM	2.88	8	0.1250	2.6300	3.1200	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.2.i	Complex Problem Solving	IM	3.62	8	0.1830	3.2664	3.9836	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.a	Operations Analysis	IM	3.62	8	0.1830	3.2664	3.9836	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.b	Technology Design	IM	2.50	8	0.2673	1.9762	3.0238	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.c	Equipment Selection	IM	2.00	8	0.1890	1.6296	2.3704	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.d	Installation	IM	1.25	8	0.1637	1.0000	1.5708	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.e	Programming	IM	4.12	8	0.1250	3.8800	4.3700	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.g	Operations Monitoring	IM	2.25	8	0.1637	1.9292	2.5708	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.h	Operation and Control	IM	1.62	8	0.1830	1.2664	1.9836	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.j	Equipment Maintenance	IM	1.00	8	0.0000	1.0000	1.0000	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.k	Troubleshooting	IM	2.12	8	0.2266	1.6809	2.5691	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.l	Repairing	IM	1.00	8	0.0000	1.0000	1.0000	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.3.m	Quality Control Analysis	IM	2.75	8	0.1637	2.4292	3.0708	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.4.e	Judgment and Decision Making	IM	3.38	8	0.1830	3.0164	3.7336	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.4.g	Systems Analysis	IM	3.12	8	0.1250	2.8800	3.3700	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.4.h	Systems Evaluation	IM	3.00	8	0.0000	3.0000	3.0000	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.5.a	Time Management	IM	3.00	8	0.0000	3.0000	3.0000	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.5.b	Management of Financial Resources	IM	1.75	8	0.1637	1.4292	2.0708	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.5.c	Management of Material Resources	IM	1.75	8	0.1637	1.4292	2.0708	N	n/a	07/2017	Analyst
Transferable Skills	15-1254.00	2.B.5.d	Management of Personnel Resources	IM	2.38	8	0.2631	1.8594	2.8906	N	n/a	07/2017	Analyst
